Country Code,Gender,Event,bronze,silver,gold,total athletes,prob_bronze,prob_silver,prob_gold,raw medals
NOR,F,GRY,0,0,0,1,0.0,0.0,0.0,0
VIN,F,ATH,0,0,0,10,0.0,0.0,0.0,0
NED,F,OWS,0,0,0,1,0.0,0.0,0.0,0
PNG,M,TKW,0,0,0,1,0.0,0.0,0.0,0
DEN,M,FBL,0,9,0,136,0.0,0.0661764705882353,0.0,9
DEN,F,SAL,2,0,0,38,0.05263157894736842,0.0,0.0,2
AFG,F,JUD,0,0,0,1,0.0,0.0,0.0,0
BAR,F,SWM,0,0,0,6,0.0,0.0,0.0,0
CZE,F,SHO,1,1,1,35,0.02857142857142857,0.02857142857142857,0.02857142857142857,3
GER,F,CSL,1,11,9,73,0.0136986301369863,0.1506849315068493,0.1232876712328767,21
CAY,F,ATH,0,0,0,7,0.0,0.0,0.0,0
LBA,M,ARC,0,0,0,1,0.0,0.0,0.0,0
POL,F,EVE,0,0,0,12,0.0,0.0,0.0,0
MKD,F,JUD,0,0,0,1,0.0,0.0,0.0,0
AZE,M,CRD,0,0,0,1,0.0,0.0,0.0,0
EGY,M,ATH,0,0,0,65,0.0,0.0,0.0,0
GER,F,TEN,0,0,0,5,0.0,0.0,0.0,0
GBR,M,RUG,0,0,0,15,0.0,0.0,0.0,0
MYA,M,SWM,0,0,0,5,0.0,0.0,0.0,0
NOR,M,VBV,0,0,0,8,0.0,0.0,0.0,0
JPN,F,TTE,3,4,1,41,0.07317073170731707,0.0975609756097561,0.024390243902439025,8
SAM,M,ARC,0,0,0,1,0.0,0.0,0.0,0
IRL,F,TEN,0,0,0,1,0.0,0.0,0.0,0
JPN,M,TTE,0,0,0,10,0.0,0.0,0.0,0
MHL,F,ATH,0,0,0,3,0.0,0.0,0.0,0
USA,M,GAR,0,0,0,6,0.0,0.0,0.0,0
FIN,F,FEN,0,0,0,6,0.0,0.0,0.0,0
GEO,M,BOX,0,0,0,14,0.0,0.0,0.0,0
CHA,M,ATH,0,0,0,29,0.0,0.0,0.0,0
RWA,M,JUD,0,0,0,1,0.0,0.0,0.0,0
NZL,F,ROW,1,5,5,62,0.016129032258064516,0.08064516129032258,0.08064516129032258,11
ZIM,F,ARC,0,0,0,1,0.0,0.0,0.0,0
MON,M,SWM,0,0,0,12,0.0,0.0,0.0,0
FIN,M,CSL,0,0,3,90,0.0,0.0,0.03333333333333333,3
USA,F,CSL,0,3,0,73,0.0,0.0410958904109589,0.0,3
GBR,F,GLF,0,0,0,4,0.0,0.0,0.0,0
GBR,M,JUD,2,2,0,72,0.027777777777777776,0.027777777777777776,0.0,4
AUS,M,GLF,0,0,0,4,0.0,0.0,0.0,0
MKD,F,CSL,0,0,0,1,0.0,0.0,0.0,0
IND,M,SWM,0,0,0,32,0.0,0.0,0.0,0
FIN,M,ROW,5,0,2,85,0.058823529411764705,0.0,0.023529411764705882,7
TAN,M,JUD,0,0,0,1,0.0,0.0,0.0,0
MEX,M,POL,0,0,0,4,0.0,0.0,0.0,0
POL,M,CRD,0,0,0,4,0.0,0.0,0.0,0
FIN,F,GRY,0,0,0,4,0.0,0.0,0.0,0
FRA,M,ROW,0,0,0,10,0.0,0.0,0.0,0
COD,M,TTE,0,0,0,4,0.0,0.0,0.0,0
JPN,M,SWM,17,13,9,483,0.035196687370600416,0.026915113871635612,0.018633540372670808,39
MAR,M,EJP,0,0,0,7,0.0,0.0,0.0,0
SWE,M,SAL,0,0,0,4,0.0,0.0,0.0,0
ARG,M,TEN,0,0,0,8,0.0,0.0,0.0,0
SLO,F,GRY,0,0,0,1,0.0,0.0,0.0,0
KOR,F,BDM,0,0,1,26,0.0,0.0,0.038461538461538464,1
GHA,M,BOX,2,0,0,59,0.03389830508474576,0.0,0.0,2
GAM,M,SWM,0,0,0,1,0.0,0.0,0.0,0
CHI,F,SKB,0,0,0,1,0.0,0.0,0.0,0
POL,F,CRD,0,0,0,4,0.0,0.0,0.0,0
JPN,F,CTR,0,0,0,34,0.0,0.0,0.0,0
GER,F,ARC,4,1,0,34,0.11764705882352941,0.029411764705882353,0.0,5
CHN,F,VBV,0,0,0,8,0.0,0.0,0.0,0
PAR,M,TTE,0,0,0,3,0.0,0.0,0.0,0
RUS,M,BDM,0,0,0,17,0.0,0.0,0.0,0
USA,M,GLF,0,0,0,10,0.0,0.0,0.0,0
EST,M,JUD,2,0,0,10,0.2,0.0,0.0,2
PUR,F,SHO,0,0,0,3,0.0,0.0,0.0,0
LUX,M,SHO,0,0,0,20,0.0,0.0,0.0,0
ISV,F,EVE,0,0,0,1,0.0,0.0,0.0,0
NOR,M,MPN,0,0,0,6,0.0,0.0,0.0,0
GBR,M,SAL,0,0,0,3,0.0,0.0,0.0,0
HKG,M,GAR,0,0,0,4,0.0,0.0,0.0,0
JPN,M,SAL,0,0,0,2,0.0,0.0,0.0,0
ROU,M,CSP,0,0,0,4,0.0,0.0,0.0,0
INA,F,FEN,0,0,0,4,0.0,0.0,0.0,0
UAR,M,WPO,0,0,0,10,0.0,0.0,0.0,0
PAR,M,FEN,0,0,0,9,0.0,0.0,0.0,0
SCG,M,FBL,0,0,0,17,0.0,0.0,0.0,0
MHL,M,TKW,0,0,0,1,0.0,0.0,0.0,0
ISL,M,ART,0,0,0,1,0.0,0.0,0.0,0
GEO,M,WRF,3,1,3,74,0.04054054054054054,0.013513513513513514,0.04054054054054054,7
SWE,M,SAL,0,0,0,3,0.0,0.0,0.0,0
KOS,M,WRF,0,0,0,1,0.0,0.0,0.0,0
KOR,F,BKB,0,0,0,81,0.0,0.0,0.0,0
AUS,M,ATH,3,5,1,634,0.00473186119873817,0.007886435331230283,0.0015772870662460567,9
PAK,M,ROW,0,0,0,3,0.0,0.0,0.0,0
NZL,M,DIV,0,0,0,3,0.0,0.0,0.0,0
GUA,F,SAL,0,0,0,2,0.0,0.0,0.0,0
JAM,M,SHO,0,0,0,1,0.0,0.0,0.0,0
LAT,F,WLF,0,0,0,1,0.0,0.0,0.0,0
NZL,M,WLF,0,0,0,24,0.0,0.0,0.0,0
SGP,M,SHO,0,0,0,8,0.0,0.0,0.0,0
DEN,M,EVE,0,1,0,90,0.0,0.011111111111111112,0.0,1
IND,F,HOC,0,0,0,48,0.0,0.0,0.0,0
SAA,F,ATH,0,0,0,6,0.0,0.0,0.0,0
ESP,F,VBV,0,0,0,6,0.0,0.0,0.0,0
SWE,F,WLF,0,0,0,2,0.0,0.0,0.0,0
ESA,F,WRF,0,0,0,1,0.0,0.0,0.0,0
MOZ,M,JUD,0,0,0,4,0.0,0.0,0.0,0
BIZ,F,ATH,0,0,0,8,0.0,0.0,0.0,0
NGR,F,ROW,0,0,0,2,0.0,0.0,0.0,0
ARG,F,CSP,0,0,0,2,0.0,0.0,0.0,0
USA,M,BMX,0,0,0,2,0.0,0.0,0.0,0
STP,F,ATH,0,0,0,6,0.0,0.0,0.0,0
GER,F,TRI,0,0,0,16,0.0,0.0,0.0,0
CHN,M,ROW,0,0,0,71,0.0,0.0,0.0,0
MNE,F,SWM,0,0,0,3,0.0,0.0,0.0,0
ARG,M,CRD,0,0,0,1,0.0,0.0,0.0,0
BIH,F,SHO,0,0,0,4,0.0,0.0,0.0,0
USA,M,GLF,0,0,0,10,0.0,0.0,0.0,0
MRI,M,TTE,0,0,0,5,0.0,0.0,0.0,0
CHN,M,CSL,0,0,2,66,0.0,0.0,0.030303030303030304,2
USA,M,SAL,0,0,0,2,0.0,0.0,0.0,0
NCA,F,ATH,0,0,0,8,0.0,0.0,0.0,0
LTU,M,BKB,8,0,0,83,0.0963855421686747,0.0,0.0,8
PUR,M,EVE,0,0,0,5,0.0,0.0,0.0,0
COL,F,JUD,1,1,0,7,0.14285714285714285,0.14285714285714285,0.0,2
JAM,M,SAL,0,0,0,14,0.0,0.0,0.0,0
SUI,F,GAR,1,0,0,102,0.00980392156862745,0.0,0.0,1
NAM,M,OWS,0,0,0,1,0.0,0.0,0.0,0
SGP,M,SAL,0,0,0,21,0.0,0.0,0.0,0
BLR,M,JUD,0,0,0,23,0.0,0.0,0.0,0
INA,M,ATH,0,0,0,34,0.0,0.0,0.0,0
FRA,M,SAL,0,0,0,3,0.0,0.0,0.0,0
DEN,M,ROW,0,0,0,5,0.0,0.0,0.0,0
HUN,F,GRY,0,0,0,8,0.0,0.0,0.0,0
AHO,M,SWM,0,0,0,10,0.0,0.0,0.0,0
MEX,F,GRY,0,0,0,1,0.0,0.0,0.0,0
RSA,F,SWM,2,0,2,128,0.015625,0.0,0.015625,4
CAN,M,WPO,0,0,0,48,0.0,0.0,0.0,0
ISR,M,ATH,0,0,0,62,0.0,0.0,0.0,0
POR,F,GTR,0,0,0,3,0.0,0.0,0.0,0
MAR,M,JUD,0,0,0,26,0.0,0.0,0.0,0
AND,F,SAL,0,0,0,1,0.0,0.0,0.0,0
NZL,F,KTE,0,0,0,1,0.0,0.0,0.0,0
HUN,F,VVO,0,0,0,36,0.0,0.0,0.0,0
USA,F,TRI,0,0,1,21,0.0,0.0,0.047619047619047616,1
ISL,M,SWM,0,0,0,69,0.0,0.0,0.0,0
KAZ,M,GTR,0,0,0,1,0.0,0.0,0.0,0
JPN,M,MTB,0,0,0,1,0.0,0.0,0.0,0
IRL,F,EVE,0,0,0,52,0.0,0.0,0.0,0
TKM,M,JUD,0,0,0,1,0.0,0.0,0.0,0
GRE,M,ROW,0,0,0,24,0.0,0.0,0.0,0
MEX,F,VVO,0,0,0,12,0.0,0.0,0.0,0
SUI,M,SAL,0,0,0,2,0.0,0.0,0.0,0
BRA,M,WPO,0,0,0,83,0.0,0.0,0.0,0
KSA,M,SHO,0,0,0,15,0.0,0.0,0.0,0
FRA,M,POL,0,0,0,4,0.0,0.0,0.0,0
MEX,F,FEN,0,1,0,26,0.0,0.038461538461538464,0.0,1
HUN,F,FEN,12,10,9,145,0.08275862068965517,0.06896551724137931,0.06206896551724138,31
GBR,M,EJP,0,0,0,6,0.0,0.0,0.0,0
FRA,F,BOX,0,0,0,3,0.0,0.0,0.0,0
LUX,M,SAL,0,0,0,1,0.0,0.0,0.0,0
BRU,F,ATH,0,0,0,2,0.0,0.0,0.0,0
PER,F,EVE,0,0,0,1,0.0,0.0,0.0,0
FIN,M,WLF,1,0,1,63,0.015873015873015872,0.0,0.015873015873015872,2
RSA,F,DIV,0,0,0,6,0.0,0.0,0.0,0
URU,M,MPN,0,0,0,11,0.0,0.0,0.0,0
FIN,M,DIV,0,0,0,44,0.0,0.0,0.0,0
JPN,F,VBV,0,0,0,4,0.0,0.0,0.0,0
CAN,F,OWS,0,0,0,1,0.0,0.0,0.0,0
HKG,M,FEN,0,0,0,7,0.0,0.0,0.0,0
KAZ,M,ARC,0,0,0,21,0.0,0.0,0.0,0
BLR,M,DIV,0,0,0,16,0.0,0.0,0.0,0
BLR,M,WLF,0,2,0,34,0.0,0.058823529411764705,0.0,2
POR,M,SAL,0,0,0,3,0.0,0.0,0.0,0
TUR,F,SWM,0,0,0,40,0.0,0.0,0.0,0
FRA,M,SAL,0,0,0,4,0.0,0.0,0.0,0
ASA,F,SWM,0,0,0,3,0.0,0.0,0.0,0
HKG,M,TTE,0,0,0,6,0.0,0.0,0.0,0
HUN,M,ART,0,0,0,85,0.0,0.0,0.0,0
BUL,M,BOX,2,2,2,98,0.02040816326530612,0.02040816326530612,0.02040816326530612,6
CIV,F,WRF,0,0,0,1,0.0,0.0,0.0,0
USA,M,GAR,0,0,0,6,0.0,0.0,0.0,0
NED,M,ROW,0,0,0,4,0.0,0.0,0.0,0
MAR,M,WLF,0,0,0,11,0.0,0.0,0.0,0
HUN,M,CTR,0,0,0,116,0.0,0.0,0.0,0
MRI,F,JUD,0,0,0,4,0.0,0.0,0.0,0
PER,F,WRF,0,0,0,1,0.0,0.0,0.0,0
TKM,M,WLF,0,0,0,11,0.0,0.0,0.0,0
FRA,M,WPO,2,0,3,98,0.02040816326530612,0.0,0.030612244897959183,5
EST,F,SAL,0,0,0,8,0.0,0.0,0.0,0
TTO,M,SAL,0,0,0,2,0.0,0.0,0.0,0
SUI,M,SAL,0,0,0,6,0.0,0.0,0.0,0
TPE,M,ARC,0,0,0,44,0.0,0.0,0.0,0
HKG,F,EVE,0,0,0,2,0.0,0.0,0.0,0
LAT,F,BKB,0,0,0,12,0.0,0.0,0.0,0
KOR,F,WLF,1,0,1,21,0.047619047619047616,0.0,0.047619047619047616,2
EGY,F,WRF,0,0,0,6,0.0,0.0,0.0,0
TUR,F,DIV,0,0,0,1,0.0,0.0,0.0,0
CYP,M,ATH,0,0,0,47,0.0,0.0,0.0,0
EOR,M,CSP,0,0,0,1,0.0,0.0,0.0,0
LTU,F,SAL,0,0,0,4,0.0,0.0,0.0,0
BEL,M,SAL,0,0,0,3,0.0,0.0,0.0,0
EUN,M,CTR,0,0,0,16,0.0,0.0,0.0,0
ALG,F,TEN,0,0,0,1,0.0,0.0,0.0,0
TUN,M,TEN,0,0,0,2,0.0,0.0,0.0,0
COL,M,CRD,0,0,0,5,0.0,0.0,0.0,0
GRE,F,VBV,0,0,0,4,0.0,0.0,0.0,0
CAN,M,LAX,0,0,0,12,0.0,0.0,0.0,0
BRA,M,SAL,0,0,0,2,0.0,0.0,0.0,0
TCH,M,WRF,2,4,1,105,0.01904761904761905,0.0380952380952381,0.009523809523809525,7
NED,M,SAL,0,0,0,3,0.0,0.0,0.0,0
HAI,M,FEN,0,0,0,3,0.0,0.0,0.0,0
TPE,F,BOX,0,0,0,5,0.0,0.0,0.0,0
SCG,M,SHO,0,0,0,17,0.0,0.0,0.0,0
SGP,F,CSL,0,0,0,2,0.0,0.0,0.0,0
BUR,M,JUD,0,0,0,4,0.0,0.0,0.0,0
GBR,M,CSL,2,5,2,179,0.0111731843575419,0.027932960893854747,0.0111731843575419,9
OMA,M,CTR,0,0,0,1,0.0,0.0,0.0,0
RUS,F,GAR,14,20,25,558,0.025089605734767026,0.035842293906810034,0.044802867383512544,59
FIN,M,JUD,0,0,0,19,0.0,0.0,0.0,0
LUX,M,FBL,0,0,0,67,0.0,0.0,0.0,0
MKD,M,ATH,0,0,0,1,0.0,0.0,0.0,0
GBR,M,ROW,15,23,37,508,0.02952755905511811,0.045275590551181105,0.07283464566929133,75
EGY,M,TEN,0,0,0,1,0.0,0.0,0.0,0
BUL,F,VVO,0,0,0,10,0.0,0.0,0.0,0
SAM,F,WLF,0,0,0,3,0.0,0.0,0.0,0
EUN,F,EVE,0,0,0,6,0.0,0.0,0.0,0
SVK,M,CSP,0,0,0,7,0.0,0.0,0.0,0
GEQ,M,SWM,0,0,0,2,0.0,0.0,0.0,0
BLR,F,SWM,1,2,0,57,0.017543859649122806,0.03508771929824561,0.0,3
BRN,F,ATH,1,0,0,30,0.03333333333333333,0.0,0.0,1
URU,M,SAL,0,0,0,1,0.0,0.0,0.0,0
UAE,F,EVE,0,0,0,1,0.0,0.0,0.0,0
BUL,F,GRY,7,0,0,55,0.12727272727272726,0.0,0.0,7
ROU,M,MPN,0,0,0,21,0.0,0.0,0.0,0
BIZ,M,CSP,0,0,0,2,0.0,0.0,0.0,0
RSA,F,GLF,0,0,0,2,0.0,0.0,0.0,0
EST,M,WLF,1,1,0,20,0.05,0.05,0.0,2
NOR,M,CSP,0,0,0,1,0.0,0.0,0.0,0
NAM,F,CTR,0,0,0,2,0.0,0.0,0.0,0
NED,M,SAL,0,0,0,6,0.0,0.0,0.0,0
VEN,F,OWS,0,0,0,1,0.0,0.0,0.0,0
SUI,M,TRI,0,0,0,17,0.0,0.0,0.0,0
USA,M,RU7,0,0,0,26,0.0,0.0,0.0,0
CHI,M,TRI,0,0,0,3,0.0,0.0,0.0,0
GEO,F,ATH,0,0,0,9,0.0,0.0,0.0,0
KSA,M,FBL,0,0,0,52,0.0,0.0,0.0,0
TTO,F,JUD,0,0,0,1,0.0,0.0,0.0,0
MAS,M,BDM,1,4,0,23,0.043478260869565216,0.17391304347826086,0.0,5
ARG,F,TKW,0,0,0,3,0.0,0.0,0.0,0
YUG,F,TTE,0,0,0,4,0.0,0.0,0.0,0
HUN,M,SWM,4,10,9,486,0.00823045267489712,0.0205761316872428,0.018518518518518517,23
PLW,F,JUD,0,0,0,1,0.0,0.0,0.0,0
AUS,F,TRI,1,1,0,21,0.047619047619047616,0.047619047619047616,0.0,2
HUN,F,HBL,0,6,0,105,0.0,0.05714285714285714,0.0,6
CHN,M,EJP,0,0,0,8,0.0,0.0,0.0,0
CAN,F,HOC,0,0,0,45,0.0,0.0,0.0,0
GER,M,MTB,0,0,0,2,0.0,0.0,0.0,0
BLR,F,DIV,0,0,0,3,0.0,0.0,0.0,0
PUR,F,ROW,0,0,0,1,0.0,0.0,0.0,0
LAT,M,BKB,0,0,0,7,0.0,0.0,0.0,0
KOR,M,WPO,0,0,0,13,0.0,0.0,0.0,0
ROC,M,OWS,0,0,0,1,0.0,0.0,0.0,0
AZE,M,KTE,0,0,0,2,0.0,0.0,0.0,0
EUN,M,SWM,0,0,0,39,0.0,0.0,0.0,0
NZL,M,JUD,0,0,0,13,0.0,0.0,0.0,0
PRK,M,BOX,1,0,0,24,0.041666666666666664,0.0,0.0,1
ARM,F,SHO,0,0,0,1,0.0,0.0,0.0,0
OMA,M,SWM,0,0,0,4,0.0,0.0,0.0,0
SLO,F,MTB,0,0,0,1,0.0,0.0,0.0,0
SAA,M,SHO,0,0,0,3,0.0,0.0,0.0,0
ISV,M,FEN,0,0,0,4,0.0,0.0,0.0,0
UKR,F,TEN,0,0,0,4,0.0,0.0,0.0,0
SWZ,M,SHO,0,0,0,2,0.0,0.0,0.0,0
BUL,F,FEN,0,0,0,3,0.0,0.0,0.0,0
GRE,F,SAL,2,0,2,28,0.07142857142857142,0.0,0.07142857142857142,4
AZE,F,WRF,1,2,0,10,0.1,0.2,0.0,3
GER,M,FSK,0,0,0,1,0.0,0.0,0.0,0
KEN,F,VVO,0,0,0,36,0.0,0.0,0.0,0
DEN,M,SHO,4,6,4,270,0.014814814814814815,0.022222222222222223,0.014814814814814815,14
WIF,M,SAL,0,0,0,2,0.0,0.0,0.0,0
NOR,F,HBL,18,6,11,115,0.1565217391304348,0.05217391304347826,0.09565217391304348,35
KAZ,M,GAR,0,0,0,38,0.0,0.0,0.0,0
USA,F,FBL,6,8,28,118,0.05084745762711865,0.06779661016949153,0.23728813559322035,42
PUR,M,SAL,0,0,0,40,0.0,0.0,0.0,0
GUM,F,SWM,0,0,0,10,0.0,0.0,0.0,0
JPN,F,BMF,0,0,0,1,0.0,0.0,0.0,0
QAT,M,ATH,1,1,0,100,0.01,0.01,0.0,2
CAN,M,SAL,0,0,0,6,0.0,0.0,0.0,0
THA,F,SWM,0,0,0,46,0.0,0.0,0.0,0
ESA,M,SWM,0,0,0,54,0.0,0.0,0.0,0
GER,M,ART,1,2,1,343,0.0029154518950437317,0.0058309037900874635,0.0029154518950437317,4
GER,M,CTR,7,6,7,361,0.019390581717451522,0.01662049861495845,0.019390581717451522,20
GBR,M,WLF,0,1,0,123,0.0,0.008130081300813009,0.0,1
GBR,M,DIV,5,3,3,138,0.036231884057971016,0.021739130434782608,0.021739130434782608,11
FRA,M,SAL,0,0,0,4,0.0,0.0,0.0,0
TPE,M,GAR,0,0,0,109,0.0,0.0,0.0,0
ROU,F,WLF,0,1,0,6,0.0,0.16666666666666666,0.0,1
KOR,M,TRI,0,0,0,1,0.0,0.0,0.0,0
AUT,M,CLB,0,0,0,1,0.0,0.0,0.0,0
AUS,M,TEN,1,2,1,52,0.019230769230769232,0.038461538461538464,0.019230769230769232,4
ESP,F,SWA,3,8,0,59,0.05084745762711865,0.13559322033898305,0.0,11
FRA,F,GTR,0,0,0,2,0.0,0.0,0.0,0
VEN,M,TTE,0,0,0,1,0.0,0.0,0.0,0
NED,M,TTE,0,0,0,12,0.0,0.0,0.0,0
JPN,F,CLB,0,0,0,2,0.0,0.0,0.0,0
AUS,F,ARC,0,0,0,26,0.0,0.0,0.0,0
GER,M,SAL,0,0,0,5,0.0,0.0,0.0,0
POL,F,WRF,1,0,0,11,0.09090909090909091,0.0,0.0,1
BLR,M,ROW,0,0,0,32,0.0,0.0,0.0,0
PRK,M,WRF,2,1,1,28,0.07142857142857142,0.03571428571428571,0.03571428571428571,4
BLR,M,CSL,2,4,4,35,0.05714285714285714,0.11428571428571428,0.11428571428571428,10
CHI,F,EDR,0,0,0,1,0.0,0.0,0.0,0
SUI,M,WPO,0,0,0,36,0.0,0.0,0.0,0
VEN,M,FEN,0,0,1,73,0.0,0.0,0.0136986301369863,1
NED,F,HOC,21,18,17,162,0.12962962962962962,0.1111111111111111,0.10493827160493827,56
THA,F,DIV,0,0,0,1,0.0,0.0,0.0,0
CHI,M,WPO,0,0,0,8,0.0,0.0,0.0,0
NED,M,FEN,16,0,0,234,0.06837606837606838,0.0,0.0,16
CAN,M,SAL,0,0,0,3,0.0,0.0,0.0,0
ESP,M,FEN,0,0,0,133,0.0,0.0,0.0,0
BAN,M,SHO,0,0,0,5,0.0,0.0,0.0,0
SCG,M,VVO,0,0,7,35,0.0,0.0,0.2,7
SUI,M,SAL,0,0,0,2,0.0,0.0,0.0,0
CHN,F,SWA,6,9,0,82,0.07317073170731707,0.10975609756097561,0.0,15
NZL,F,SHO,0,0,0,10,0.0,0.0,0.0,0
USA,M,HOC,0,0,0,86,0.0,0.0,0.0,0
SWE,M,SAL,0,0,0,3,0.0,0.0,0.0,0
MAR,M,CSL,0,0,0,2,0.0,0.0,0.0,0
NZL,M,SAL,0,0,0,2,0.0,0.0,0.0,0
MAR,F,JUD,0,0,0,5,0.0,0.0,0.0,0
ESP,M,TTE,0,0,0,11,0.0,0.0,0.0,0
GDR,F,CSL,0,1,2,22,0.0,0.045454545454545456,0.09090909090909091,3
SLO,M,TKW,0,0,0,3,0.0,0.0,0.0,0
FIN,M,SAL,0,0,0,5,0.0,0.0,0.0,0
ESA,M,ART,0,0,0,4,0.0,0.0,0.0,0
USA,M,GAR,0,0,0,6,0.0,0.0,0.0,0
ESA,M,CTR,0,0,0,9,0.0,0.0,0.0,0
AUT,M,HOC,0,0,0,41,0.0,0.0,0.0,0
BEL,M,CSP,0,0,0,1,0.0,0.0,0.0,0
FRA,M,ROW,0,0,0,4,0.0,0.0,0.0,0
PAK,M,JUD,0,0,0,2,0.0,0.0,0.0,0
KUW,M,SWM,0,0,0,35,0.0,0.0,0.0,0
GBR,F,SWM,6,8,0,620,0.00967741935483871,0.012903225806451613,0.0,14
ZIM,F,FBL,0,0,0,17,0.0,0.0,0.0,0
KSA,M,EVE,4,0,0,28,0.14285714285714285,0.0,0.0,4
HUN,F,MTB,0,0,0,1,0.0,0.0,0.0,0
INA,M,TEN,0,0,0,5,0.0,0.0,0.0,0
IVB,F,ATH,0,0,0,5,0.0,0.0,0.0,0
SRI,F,GAR,0,0,0,5,0.0,0.0,0.0,0
RSA,M,SAL,0,0,0,2,0.0,0.0,0.0,0
MEX,F,MTB,0,0,0,1,0.0,0.0,0.0,0
CRC,M,TKW,0,0,0,3,0.0,0.0,0.0,0
GBR,M,SAL,0,0,0,5,0.0,0.0,0.0,0
PAN,M,SHO,0,0,0,3,0.0,0.0,0.0,0
NZL,M,EJP,0,0,0,6,0.0,0.0,0.0,0
GBR,M,TTE,0,0,0,2,0.0,0.0,0.0,0
BUL,M,WRF,8,12,7,219,0.0365296803652968,0.0547945205479452,0.0319634703196347,27
MOZ,M,CSL,0,0,0,4,0.0,0.0,0.0,0
CHI,F,ATH,0,0,0,38,0.0,0.0,0.0,0
HON,F,SWM,0,0,0,27,0.0,0.0,0.0,0
SEN,M,SWM,0,0,0,19,0.0,0.0,0.0,0
CZE,F,ROW,0,0,1,15,0.0,0.0,0.06666666666666667,1
FRA,M,SAL,0,0,0,6,0.0,0.0,0.0,0
COK,M,CSP,0,0,0,2,0.0,0.0,0.0,0
ISR,M,TEN,0,0,0,13,0.0,0.0,0.0,0
SVK,F,TTE,0,0,0,6,0.0,0.0,0.0,0
CHN,M,JUD,0,0,0,36,0.0,0.0,0.0,0
ITA,M,TOW,0,0,0,8,0.0,0.0,0.0,0
