Year_Before,Year_After,Medals_Before,Medals_After,Delta_Medals,Repeat_Rate,Coaching_Effect_%,File
1976,1984,1,0,-1,0.0,-0.0,United_States_ARC_womens.csv
1984,1988,0,3,3,0.0,0.0,United_States_ARC_womens.csv
1988,1992,3,0,-3,0.333,-33.33,United_States_ARC_womens.csv
1992,1996,0,0,0,0.0,0.0,United_States_ARC_womens.csv
1996,2000,0,0,0,0.333,0.0,United_States_ARC_womens.csv
2000,2004,0,0,0,0.333,0.0,United_States_ARC_womens.csv
2004,2008,0,0,0,0.5,0.0,United_States_ARC_womens.csv
2008,2012,0,0,0,0.667,0.0,United_States_ARC_womens.csv
2012,2016,0,0,0,0.0,0.0,United_States_ARC_womens.csv
2016,2020,0,0,0,0.333,0.0,United_States_ARC_womens.csv
2020,2024,0,1,1,0.333,33.33,United_States_ARC_womens.csv
2000,2004,0,0,0,0.667,0.0,Brazil_TRI_mens.csv
2004,2008,0,0,0,0.5,0.0,Brazil_TRI_mens.csv
2008,2012,0,0,0,0.5,0.0,Brazil_TRI_mens.csv
2012,2016,0,0,0,1.0,0.0,Brazil_TRI_mens.csv
2016,2020,0,0,0,0.0,0.0,Brazil_TRI_mens.csv
2020,2024,0,0,0,0.5,0.0,Brazil_TRI_mens.csv
2012,2024,0,0,0,0.211,0.0,Belgium_HOC_womens.csv
2000,2004,0,0,0,0.0,0.0,Myanmar_ARC_womens.csv
2004,2016,0,0,0,0.0,0.0,Myanmar_ARC_womens.csv
2004,2012,0,0,0,1.0,0.0,Cyprus_TEN_mens.csv
2000,2004,0,0,0,0.333,0.0,Italy_SBL_womens.csv
2004,2020,0,0,0,0.0,0.0,Italy_SBL_womens.csv
1960,1964,0,0,0,0.667,0.0,John_B_SAL_mens.csv
1932,1936,0,2,2,0.215,43.08,Japan_ART_mens.csv
2000,2004,1,0,-1,0.5,-50.0,Canada_TRI_mens.csv
2004,2008,0,1,1,0.333,33.33,Canada_TRI_mens.csv
2008,2012,1,0,-1,0.333,-33.33,Canada_TRI_mens.csv
2012,2016,0,0,0,0.0,0.0,Canada_TRI_mens.csv
2016,2020,0,0,0,0.333,0.0,Canada_TRI_mens.csv
2020,2024,0,0,0,0.5,0.0,Canada_TRI_mens.csv
1952,1956,0,0,0,0.0,0.0,Japan_CTR_mens.csv
1956,1960,0,0,0,0.2,0.0,Japan_CTR_mens.csv
1960,1964,0,0,0,0.067,0.0,Japan_CTR_mens.csv
1964,1968,0,0,0,0.0,0.0,Japan_CTR_mens.csv
1968,1972,0,0,0,0.0,0.0,Japan_CTR_mens.csv
1972,1976,0,0,0,0.2,0.0,Japan_CTR_mens.csv
1976,1984,0,1,1,0.0,0.0,Japan_CTR_mens.csv
1984,1988,1,0,-1,0.111,-11.11,Japan_CTR_mens.csv
1988,1992,0,0,0,0.0,0.0,Japan_CTR_mens.csv
1992,1996,0,1,1,0.0,0.0,Japan_CTR_mens.csv
1996,2000,1,0,-1,0.143,-14.29,Japan_CTR_mens.csv
2000,2004,0,3,3,0.286,85.71,Japan_CTR_mens.csv
2004,2008,3,1,-2,0.3,-20.0,Japan_CTR_mens.csv
2008,2012,1,0,-1,0.5,-50.0,Japan_CTR_mens.csv
2012,2016,0,0,0,0.5,0.0,Japan_CTR_mens.csv
2016,2020,0,0,0,0.333,0.0,Japan_CTR_mens.csv
2020,2024,0,0,0,0.125,0.0,Japan_CTR_mens.csv
1988,1992,0,1,1,0.0,0.0,China_SAL_womens.csv
1992,1996,1,0,-1,0.0,-0.0,China_SAL_womens.csv
1996,2000,0,0,0,0.0,0.0,China_SAL_womens.csv
2000,2004,0,1,1,0.0,0.0,China_SAL_womens.csv
2004,2008,1,2,1,0.143,14.29,China_SAL_womens.csv
2008,2012,2,1,-1,0.25,-12.5,China_SAL_womens.csv
2012,2016,1,1,0,0.5,0.0,China_SAL_womens.csv
2016,2020,1,1,0,0.0,0.0,China_SAL_womens.csv
2020,2024,1,0,-1,0.0,-0.0,China_SAL_womens.csv
1960,1964,0,1,1,0.0,0.0,Tunisia_ATH_mens.csv
1964,1968,1,2,1,0.667,66.67,Tunisia_ATH_mens.csv
1968,1972,2,1,-1,0.25,-12.5,Tunisia_ATH_mens.csv
1972,1984,1,0,-1,0.0,-0.0,Tunisia_ATH_mens.csv
1984,1988,0,0,0,0.5,0.0,Tunisia_ATH_mens.csv
1988,1992,0,0,0,1.0,0.0,Tunisia_ATH_mens.csv
1992,1996,0,0,0,0.0,0.0,Tunisia_ATH_mens.csv
1996,2000,0,0,0,0.333,0.0,Tunisia_ATH_mens.csv
2000,2004,0,0,0,1.0,0.0,Tunisia_ATH_mens.csv
2004,2008,0,0,0,0.5,0.0,Tunisia_ATH_mens.csv
2008,2012,0,0,0,0.333,0.0,Tunisia_ATH_mens.csv
2012,2016,0,0,0,0.6,0.0,Tunisia_ATH_mens.csv
2016,2020,0,0,0,0.0,0.0,Tunisia_ATH_mens.csv
2020,2024,0,0,0,0.0,0.0,Tunisia_ATH_mens.csv
1996,2004,0,0,0,0.0,0.0,Malaysia_BDM_womens.csv
2004,2008,0,0,0,0.667,0.0,Malaysia_BDM_womens.csv
2008,2012,0,0,0,0.0,0.0,Malaysia_BDM_womens.csv
2012,2016,0,1,1,0.5,50.0,Malaysia_BDM_womens.csv
2016,2020,1,0,-1,0.0,-0.0,Malaysia_BDM_womens.csv
2020,2024,0,0,0,0.0,0.0,Malaysia_BDM_womens.csv
2000,2004,0,0,0,0.25,0.0,Australia_FBL_womens.csv
2004,2016,0,0,0,0.059,0.0,Australia_FBL_womens.csv
2016,2020,0,0,0,0.409,0.0,Australia_FBL_womens.csv
2020,2024,0,0,0,0.632,0.0,Australia_FBL_womens.csv
1988,1992,0,0,0,0.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
1992,1996,0,0,0,0.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
1996,2000,0,0,0,0.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2000,2004,0,0,0,1.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2004,2008,0,0,0,0.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2008,2012,0,0,0,1.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2012,2016,0,0,0,1.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2016,2020,0,0,0,0.0,0.0,Saint_Vincent_And_The_Grenadines_ATH_womens.csv
2020,2024,1,1,0,1.0,0.0,Netherlands_OWS_womens.csv
2016,2024,0,0,0,0.0,0.0,Papua_New_Guinea_TKW_mens.csv
1906,1908,12,13,1,0.231,1.92,Denmark_FBL_mens.csv
1908,1912,13,15,2,0.4,6.15,Denmark_FBL_mens.csv
1912,1920,15,0,-15,0.273,-27.27,Denmark_FBL_mens.csv
1920,1948,0,13,13,0.0,0.0,Denmark_FBL_mens.csv
1948,1952,13,0,-13,0.2,-20.0,Denmark_FBL_mens.csv
1952,1960,0,12,12,0.0,0.0,Denmark_FBL_mens.csv
1960,1972,12,0,-12,0.0,-0.0,Denmark_FBL_mens.csv
1972,1992,0,0,0,0.0,0.0,Denmark_FBL_mens.csv
1992,2016,0,0,0,0.059,0.0,Denmark_FBL_mens.csv
1984,1988,0,0,0,0.333,0.0,Denmark_SAL_womens.csv
1988,1992,0,0,0,0.0,0.0,Denmark_SAL_womens.csv
1992,1996,0,1,1,0.333,33.33,Denmark_SAL_womens.csv
1996,2000,1,0,-1,0.75,-75.0,Denmark_SAL_womens.csv
2000,2004,0,4,4,0.333,133.33,Denmark_SAL_womens.csv
2004,2008,4,0,-4,0.0,-0.0,Denmark_SAL_womens.csv
2008,2012,0,0,0,0.0,0.0,Denmark_SAL_womens.csv
2012,2016,0,3,3,0.2,60.0,Denmark_SAL_womens.csv
2016,2020,3,1,-2,0.0,-0.0,Denmark_SAL_womens.csv
2020,2024,1,1,0,0.25,0.0,Denmark_SAL_womens.csv
1996,2000,0,0,0,1.0,0.0,Barbados_SWM_womens.csv
2000,2016,0,0,0,0.0,0.0,Barbados_SWM_womens.csv
2016,2020,0,0,0,0.0,0.0,Barbados_SWM_womens.csv
1996,2000,0,0,0,0.0,0.0,Czech_Republic_SHO_womens.csv
2000,2004,0,2,2,0.0,0.0,Czech_Republic_SHO_womens.csv
2004,2008,2,2,0,0.4,0.0,Czech_Republic_SHO_womens.csv
2008,2012,2,1,-1,1.0,-50.0,Czech_Republic_SHO_womens.csv
2012,2016,1,0,-1,0.333,-33.33,Czech_Republic_SHO_womens.csv
2016,2020,0,0,0,0.0,0.0,Czech_Republic_SHO_womens.csv
1952,1956,0,1,1,0.0,0.0,Germany_CSL_womens.csv
1956,1960,1,3,2,0.5,100.0,Germany_CSL_womens.csv
1960,1964,3,2,-1,0.0,-0.0,Germany_CSL_womens.csv
1964,1992,2,8,6,0.0,0.0,Germany_CSL_womens.csv
1992,1996,8,6,-2,0.667,-16.67,Germany_CSL_womens.csv
1996,2000,6,6,0,0.5,0.0,Germany_CSL_womens.csv
2000,2004,6,6,0,0.5,0.0,Germany_CSL_womens.csv
2004,2008,6,5,-1,0.4,-6.67,Germany_CSL_womens.csv
2008,2012,5,6,1,0.167,3.33,Germany_CSL_womens.csv
2012,2016,6,6,0,0.333,0.0,Germany_CSL_womens.csv
2016,2020,6,2,-4,0.0,-0.0,Germany_CSL_womens.csv
2020,2024,2,1,-1,0.5,-25.0,Germany_CSL_womens.csv
1988,1996,0,0,0,0.0,0.0,Cayman_Islands_ATH_womens.csv
1996,2000,0,0,0,1.0,0.0,Cayman_Islands_ATH_womens.csv
2000,2004,0,0,0,1.0,0.0,Cayman_Islands_ATH_womens.csv
2004,2008,0,0,0,1.0,0.0,Cayman_Islands_ATH_womens.csv
2008,2020,0,0,0,0.0,0.0,Cayman_Islands_ATH_womens.csv
1980,2012,0,0,0,0.0,0.0,Poland_EVE_womens.csv
2012,2020,0,0,0,0.0,0.0,Poland_EVE_womens.csv
2020,2024,0,0,0,0.0,0.0,Poland_EVE_womens.csv
1906,1920,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1920,1924,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1924,1936,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1936,1948,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1948,1952,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1952,1972,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1972,1984,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
1984,1988,0,0,0,1.0,0.0,Egypt_ATH_mens.csv
1988,2000,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
2000,2004,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
2004,2008,0,0,0,0.25,0.0,Egypt_ATH_mens.csv
2008,2012,0,0,0,0.333,0.0,Egypt_ATH_mens.csv
2012,2016,0,0,0,0.333,0.0,Egypt_ATH_mens.csv
2016,2020,0,0,0,0.0,0.0,Egypt_ATH_mens.csv
2020,2024,0,0,0,0.6,0.0,Egypt_ATH_mens.csv
2012,2016,0,0,0,0.5,0.0,Germany-2_TEN_womens.csv
1960,1964,0,0,0,1.0,0.0,Myanmar_SWM_mens.csv
1964,2008,0,0,0,0.0,0.0,Myanmar_SWM_mens.csv
2008,2016,0,0,0,0.0,0.0,Myanmar_SWM_mens.csv
2016,2024,0,0,0,0.0,0.0,Myanmar_SWM_mens.csv
1996,2008,0,0,0,0.0,0.0,Norway_VBV_mens.csv
2008,2012,0,0,0,0.5,0.0,Norway_VBV_mens.csv
2012,2020,0,2,2,0.0,0.0,Norway_VBV_mens.csv
2020,2024,2,2,0,0.5,0.0,Norway_VBV_mens.csv
1988,1992,0,0,0,0.333,0.0,Japan_TTE_womens.csv
1992,1996,0,0,0,0.333,0.0,Japan_TTE_womens.csv
1996,2000,0,0,0,0.333,0.0,Japan_TTE_womens.csv
2000,2004,0,0,0,0.0,0.0,Japan_TTE_womens.csv
2004,2008,0,0,0,0.333,0.0,Japan_TTE_womens.csv
2008,2012,0,3,3,0.667,200.0,Japan_TTE_womens.csv
2012,2016,3,3,0,0.667,0.0,Japan_TTE_womens.csv
2016,2020,3,5,2,0.667,44.44,Japan_TTE_womens.csv
2020,2024,5,4,-1,0.333,-6.67,Japan_TTE_womens.csv
1988,1992,0,0,0,0.0,0.0,Japan-1_TTE_mens.csv
1992,1996,0,0,0,0.0,0.0,Japan-1_TTE_mens.csv
1996,2000,0,0,0,0.0,0.0,Japan-1_TTE_mens.csv
2000,2004,0,0,0,0.0,0.0,Japan-1_TTE_mens.csv
2008,2012,0,0,0,1.0,0.0,Marshall_Islands_ATH_womens.csv
2012,2016,0,0,0,0.0,0.0,Marshall_Islands_ATH_womens.csv
1952,1960,0,0,0,0.0,0.0,Finland_FEN_womens.csv
1960,1996,0,0,0,0.0,0.0,Finland_FEN_womens.csv
1996,2000,0,1,1,0.0,0.0,Georgia_BOX_mens.csv
2000,2004,1,0,-1,0.0,-0.0,Georgia_BOX_mens.csv
2004,2008,0,0,0,0.5,0.0,Georgia_BOX_mens.csv
2008,2020,0,0,0,0.0,0.0,Georgia_BOX_mens.csv
2020,2024,0,1,1,0.0,0.0,Georgia_BOX_mens.csv
1964,1968,0,0,0,0.667,0.0,Chad_ATH_mens.csv
1968,1972,0,0,0,0.333,0.0,Chad_ATH_mens.csv
1972,1984,0,0,0,0.0,0.0,Chad_ATH_mens.csv
1984,1988,0,0,0,0.0,0.0,Chad_ATH_mens.csv
1988,1992,0,0,0,0.667,0.0,Chad_ATH_mens.csv
1992,1996,0,0,0,0.333,0.0,Chad_ATH_mens.csv
1996,2000,0,0,0,0.0,0.0,Chad_ATH_mens.csv
2000,2008,0,0,0,1.0,0.0,Chad_ATH_mens.csv
2008,2016,0,0,0,0.0,0.0,Chad_ATH_mens.csv
2016,2020,0,0,0,1.0,0.0,Chad_ATH_mens.csv
2020,2024,0,0,0,0.0,0.0,Chad_ATH_mens.csv
1984,1988,0,2,2,0.0,0.0,New_Zealand_ROW_womens.csv
1988,1992,2,0,-2,0.0,-0.0,New_Zealand_ROW_womens.csv
1992,1996,0,0,0,1.0,0.0,New_Zealand_ROW_womens.csv
1996,2000,0,0,0,0.0,0.0,New_Zealand_ROW_womens.csv
2000,2004,0,2,2,0.2,40.0,New_Zealand_ROW_womens.csv
2004,2008,2,2,0,0.8,0.0,New_Zealand_ROW_womens.csv
2008,2012,2,2,0,0.182,0.0,New_Zealand_ROW_womens.csv
2012,2016,2,2,0,0.286,0.0,New_Zealand_ROW_womens.csv
2016,2020,2,13,11,0.467,256.67,New_Zealand_ROW_womens.csv
2020,2024,13,7,-6,0.273,-12.59,New_Zealand_ROW_womens.csv
1976,1984,0,0,0,0.0,0.0,Monaco_SWM_mens.csv
1984,1992,0,0,0,0.0,0.0,Monaco_SWM_mens.csv
1992,1996,0,0,0,1.0,0.0,Monaco_SWM_mens.csv
1996,2000,0,0,0,0.0,0.0,Monaco_SWM_mens.csv
2000,2004,0,0,0,0.0,0.0,Monaco_SWM_mens.csv
2004,2020,0,0,0,0.0,0.0,Monaco_SWM_mens.csv
2020,2024,0,0,0,1.0,0.0,Monaco_SWM_mens.csv
1936,1948,0,5,5,0.0,0.0,Finland_CSL_mens.csv
1948,1952,5,7,2,0.111,4.44,Finland_CSL_mens.csv
1952,1956,7,0,-7,0.4,-40.0,Finland_CSL_mens.csv
1956,1960,0,0,0,0.25,0.0,Finland_CSL_mens.csv
1960,1964,0,0,0,0.0,0.0,Finland_CSL_mens.csv
1964,1968,0,0,0,0.2,0.0,Finland_CSL_mens.csv
1968,1972,0,0,0,0.75,0.0,Finland_CSL_mens.csv
1972,1976,0,0,0,0.429,0.0,Finland_CSL_mens.csv
1976,1980,0,0,0,0.5,0.0,Finland_CSL_mens.csv
1980,1984,0,0,0,0.2,0.0,Finland_CSL_mens.csv
1984,1988,0,0,0,0.667,0.0,Finland_CSL_mens.csv
1988,1992,0,1,1,1.0,100.0,Finland_CSL_mens.csv
1992,1996,1,0,-1,1.0,-100.0,Finland_CSL_mens.csv
1996,2000,0,0,0,0.0,0.0,Finland_CSL_mens.csv
2000,2004,0,0,0,1.0,0.0,Finland_CSL_mens.csv
2004,2008,0,0,0,0.0,0.0,Finland_CSL_mens.csv
1960,1964,0,3,3,0.333,100.0,United_States_CSL_womens.csv
1964,1968,3,0,-3,0.5,-50.0,United_States_CSL_womens.csv
1968,1972,0,0,0,0.167,0.0,United_States_CSL_womens.csv
1972,1976,0,0,0,0.333,0.0,United_States_CSL_womens.csv
1976,1984,0,0,0,0.25,0.0,United_States_CSL_womens.csv
1984,1988,0,0,0,0.5,0.0,United_States_CSL_womens.csv
1988,1992,0,1,1,0.429,42.86,United_States_CSL_womens.csv
1992,1996,1,1,0,0.571,0.0,United_States_CSL_womens.csv
1996,2000,1,0,-1,0.0,-0.0,United_States_CSL_womens.csv
2000,2004,0,1,1,0.4,40.0,United_States_CSL_womens.csv
2004,2008,1,0,-1,0.5,-50.0,United_States_CSL_womens.csv
2008,2012,0,0,0,0.5,0.0,United_States_CSL_womens.csv
2012,2016,0,0,0,0.0,0.0,United_States_CSL_womens.csv
2016,2020,0,0,0,0.0,0.0,United_States_CSL_womens.csv
