Year_Start,Year_End,Returning_Athlete_Effect,New_Athlete_Effect,Coaching_Effect,Z_Score,P_Value,Significant,File,Abs_Coaching_Effect
1996,2000,1.0,1.0,5.33,4.899,0.0,True,China_DIV_mens.csv,5.33
2000,2004,0.0,2.0,3.0,2.0,0.0455,True,China_DIV_mens.csv,3.0
2004,2008,1.0,5.0,12.0,0.0,1.0,False,China_DIV_mens.csv,12.0
2008,2012,0.0,4.0,7.0,0.0,1.0,False,China_DIV_mens.csv,7.0
2012,2016,0.0,2.0,6.0,0.0,1.0,False,China_DIV_mens.csv,6.0
2020,2024,0.0,3.0,6.0,0.0,1.0,False,China_DIV_mens.csv,6.0
1948,1952,0.0,0.0,0.0,0.0,1.0,False,India_CTR_mens.csv,0.0
1984,1988,1.0,0.0,7.0,0.0,1.0,False,West_Germany_SHO_womens.csv,7.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Peru_SRF_mens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Thailand_GLF_womens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Thailand_GLF_womens.csv,0.0
1948,1952,0.0,0.0,0.0,0.0,1.0,False,Jamaica_ATH_womens.csv,0.0
1964,1968,0.0,0.0,0.0,0.0,1.0,False,Jamaica_ATH_womens.csv,0.0
1968,1972,0.0,0.0,0.0,0.0,1.0,False,Jamaica_ATH_womens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,Jamaica_ATH_womens.csv,0.0
1976,1980,0.0,1.0,2.33,1.225,0.22067,False,Jamaica_ATH_womens.csv,2.33
1980,1984,1.0,0.0,4.67,0.866,0.38648,False,Jamaica_ATH_womens.csv,4.67
1984,1988,-1.0,0.0,-2.2,-0.707,0.4795,False,Jamaica_ATH_womens.csv,2.2
1988,1992,2.0,0.0,5.6,1.414,0.1573,False,Jamaica_ATH_womens.csv,5.6
1992,1996,4.0,2.0,11.82,2.515,0.0119,True,Jamaica_ATH_womens.csv,11.82
1996,2000,4.0,7.0,21.72,4.438,1e-05,True,Jamaica_ATH_womens.csv,21.72
2000,2004,0.0,5.0,9.09,1.841,0.06559,False,Jamaica_ATH_womens.csv,9.09
2004,2008,-3.0,9.0,4.5,0.718,0.4725,False,Jamaica_ATH_womens.csv,4.5
2008,2012,0.0,3.0,8.57,1.827,0.06767,False,Jamaica_ATH_womens.csv,8.57
2012,2016,-2.0,11.0,6.21,1.065,0.28708,False,Jamaica_ATH_womens.csv,6.21
2016,2020,2.0,15.0,28.58,3.402,0.00067,True,Jamaica_ATH_womens.csv,28.58
2020,2024,-8.0,0.0,-20.67,-4.496,1e-05,True,Jamaica_ATH_womens.csv,20.67
1988,1992,0.0,2.0,2.86,0.679,0.49743,False,China_WLF_mens.csv,2.86
1996,2000,0.0,2.0,3.0,0.894,0.37109,False,China_WLF_mens.csv,3.0
2000,2004,1.0,2.0,6.0,2.121,0.03389,True,China_WLF_mens.csv,6.0
2004,2008,-1.0,5.0,0.0,0.0,1.0,False,China_WLF_mens.csv,0.0
2008,2012,-1.0,4.0,-1.2,-1.118,0.26355,False,China_WLF_mens.csv,1.2
2012,2016,0.0,3.0,3.6,2.739,0.00617,True,China_WLF_mens.csv,3.6
2020,2024,-1.0,1.0,1.5,1.414,0.1573,False,China_WLF_mens.csv,1.5
1932,1936,0.0,0.0,0.0,0.0,1.0,False,Monaco_ART_mens.csv,0.0
1992,2000,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Greece_SWA_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Colombia_TEN_womens.csv,0.0
1972,1976,0.0,1.0,2.0,0.0,1.0,False,United_States_ARC_womens.csv,2.0
1988,1992,-1.0,0.0,-3.0,0.0,1.0,False,United_States_ARC_womens.csv,3.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,United_States_ARC_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,United_States_ARC_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,United_States_ARC_womens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,United_States_ARC_womens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,United_States_ARC_womens.csv,0.0
2020,2024,1.0,0.0,3.0,0.0,1.0,False,United_States_ARC_womens.csv,3.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Brazil_TRI_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Brazil_TRI_mens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Brazil_TRI_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Brazil_TRI_mens.csv,0.0
2012,2024,0.0,0.0,0.0,0.0,1.0,False,Belgium_HOC_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Italy_SBL_womens.csv,0.0
1960,1964,0.0,0.0,0.0,0.0,1.0,False,John_B_SAL_mens.csv,0.0
1932,1936,0.0,2.0,2.55,1.443,0.14908,False,Japan_ART_mens.csv,2.55
2000,2004,-1.0,0.0,-2.0,0.0,1.0,False,Canada_TRI_mens.csv,2.0
2004,2008,1.0,0.0,3.0,0.0,1.0,False,Canada_TRI_mens.csv,3.0
2008,2012,-1.0,0.0,-3.0,0.0,1.0,False,Canada_TRI_mens.csv,3.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Canada_TRI_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Canada_TRI_mens.csv,0.0
1956,1960,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
1960,1964,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
2000,2004,1.0,2.0,6.3,2.164,0.03048,True,Japan_CTR_mens.csv,6.3
2004,2008,-2.0,1.0,-5.24,-1.731,0.08345,False,Japan_CTR_mens.csv,5.24
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_mens.csv,0.0
2004,2008,0.0,1.0,1.17,1.095,0.27332,False,China_SAL_womens.csv,1.17
2008,2012,0.0,0.0,0.0,0.0,1.0,False,China_SAL_womens.csv,0.0
2012,2016,-1.0,1.0,0.0,0.0,1.0,False,China_SAL_womens.csv,0.0
1964,1968,1.0,0.0,1.5,1.414,0.1573,False,Tunisia_ATH_mens.csv,1.5
1968,1972,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Tunisia_ATH_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Malaysia_BDM_womens.csv,0.0
2012,2016,1.0,0.0,2.0,1.414,0.1573,False,Malaysia_BDM_womens.csv,2.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Australia_FBL_womens.csv,0.0
2004,2016,0.0,0.0,0.0,0.0,1.0,False,Australia_FBL_womens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Australia_FBL_womens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Australia_FBL_womens.csv,0.0
1906,1908,0.0,10.0,13.0,0.0,1.0,False,Denmark_FBL_mens.csv,13.0
1908,1912,0.0,9.0,15.0,0.0,1.0,False,Denmark_FBL_mens.csv,15.0
1912,1920,-3.0,0.0,-11.0,0.0,1.0,False,Denmark_FBL_mens.csv,11.0
1948,1952,-2.0,0.0,-10.0,0.0,1.0,False,Denmark_FBL_mens.csv,10.0
1992,2016,0.0,0.0,0.0,0.0,1.0,False,Denmark_FBL_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Denmark_SAL_womens.csv,0.0
1992,1996,0.0,1.0,1.5,1.414,0.1573,False,Denmark_SAL_womens.csv,1.5
1996,2000,-1.0,0.0,-1.33,-1.225,0.22067,False,Denmark_SAL_womens.csv,1.33
2000,2004,0.0,4.0,6.0,0.0,1.0,False,Denmark_SAL_womens.csv,6.0
2012,2016,1.0,2.0,7.5,6.0,0.0,True,Denmark_SAL_womens.csv,7.5
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Denmark_SAL_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Czech_Republic_SHO_womens.csv,0.0
2012,2016,-1.0,0.0,-3.0,0.0,1.0,False,Czech_Republic_SHO_womens.csv,3.0
1956,1960,0.0,1.0,2.0,0.0,1.0,False,Germany_CSL_womens.csv,2.0
1992,1996,0.0,2.0,6.0,0.0,1.0,False,Germany_CSL_womens.csv,6.0
1996,2000,0.0,2.0,4.0,2.449,0.01431,True,Germany_CSL_womens.csv,4.0
2000,2004,0.0,3.0,6.0,0.0,1.0,False,Germany_CSL_womens.csv,6.0
2004,2008,1.0,3.0,7.5,4.243,2e-05,True,Germany_CSL_womens.csv,7.5
2008,2012,0.0,5.0,6.0,0.0,1.0,False,Germany_CSL_womens.csv,6.0
2012,2016,0.0,2.0,3.0,2.0,0.0455,True,Germany_CSL_womens.csv,3.0
2020,2024,-1.0,1.0,0.0,0.0,1.0,False,Germany_CSL_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Egypt_ATH_mens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Egypt_ATH_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Egypt_ATH_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Egypt_ATH_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Germany-2_TEN_womens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Norway_VBV_mens.csv,0.0
2020,2024,0.0,1.0,2.0,0.0,1.0,False,Norway_VBV_mens.csv,2.0
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Japan_TTE_womens.csv,0.0
1992,1996,0.0,0.0,0.0,0.0,1.0,False,Japan_TTE_womens.csv,0.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,Japan_TTE_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Japan_TTE_womens.csv,0.0
2008,2012,2.0,1.0,6.0,0.0,1.0,False,Japan_TTE_womens.csv,6.0
2012,2016,0.0,1.0,3.0,0.0,1.0,False,Japan_TTE_womens.csv,3.0
2016,2020,0.0,1.0,3.0,0.0,1.0,False,Japan_TTE_womens.csv,3.0
2020,2024,0.0,2.0,3.0,0.0,1.0,False,Japan_TTE_womens.csv,3.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Georgia_BOX_mens.csv,0.0
1964,1968,0.0,0.0,0.0,0.0,1.0,False,Chad_ATH_mens.csv,0.0
1968,1972,0.0,0.0,0.0,0.0,1.0,False,Chad_ATH_mens.csv,0.0
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Chad_ATH_mens.csv,0.0
1992,1996,0.0,0.0,0.0,0.0,1.0,False,Chad_ATH_mens.csv,0.0
2000,2004,0.0,2.0,2.5,2.0,0.0455,True,New_Zealand_ROW_womens.csv,2.5
2004,2008,0.0,0.0,0.0,0.0,1.0,False,New_Zealand_ROW_womens.csv,0.0
2008,2012,1.0,1.0,6.72,1.657,0.09747,False,New_Zealand_ROW_womens.csv,6.72
2012,2016,0.0,1.0,1.4,0.312,0.75507,False,New_Zealand_ROW_womens.csv,1.4
2016,2020,7.0,6.0,26.25,11.431,0.0,True,New_Zealand_ROW_womens.csv,26.25
2020,2024,0.0,4.0,5.5,2.828,0.00468,True,New_Zealand_ROW_womens.csv,5.5
1948,1952,0.0,5.0,5.62,3.651,0.00026,True,Finland_CSL_mens.csv,5.62
1952,1956,-2.0,0.0,-5.0,0.0,1.0,False,Finland_CSL_mens.csv,5.0
1956,1960,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1964,1968,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1968,1972,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1976,1980,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1980,1984,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Finland_CSL_mens.csv,0.0
1960,1964,1.0,2.0,6.0,0.0,1.0,False,United_States_CSL_womens.csv,6.0
1964,1968,-1.0,0.0,-2.0,0.0,1.0,False,United_States_CSL_womens.csv,2.0
1968,1972,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
1976,1984,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
1988,1992,0.0,1.0,1.75,1.155,0.24821,False,United_States_CSL_womens.csv,1.75
1992,1996,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
2000,2004,1.0,0.0,2.5,1.414,0.1573,False,United_States_CSL_womens.csv,2.5
2004,2008,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,United_States_CSL_womens.csv,0.0
1964,1972,1.0,2.0,8.4,6.39,0.0,True,United_Kingdom_JUD_mens.csv,8.4
1972,1976,0.0,0.0,0.0,0.0,1.0,False,United_Kingdom_JUD_mens.csv,0.0
1980,1984,0.0,2.0,2.67,0.622,0.53383,False,United_Kingdom_JUD_mens.csv,2.67
1984,1988,-3.0,1.0,-0.7,-0.24,0.81,False,United_Kingdom_JUD_mens.csv,0.7
1988,1992,0.0,1.0,1.4,1.118,0.26355,False,United_Kingdom_JUD_mens.csv,1.4
1992,1996,-1.0,0.0,-2.0,-1.225,0.22067,False,United_Kingdom_JUD_mens.csv,2.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,United_Kingdom_JUD_mens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,United_Kingdom_JUD_mens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,United_Kingdom_JUD_mens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,United_Kingdom_JUD_mens.csv,0.0
1948,1952,0.0,0.0,0.0,0.0,1.0,False,India_SWM_mens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,India_SWM_mens.csv,0.0
1948,1952,2.0,2.0,28.17,19.202,0.0,True,Finland_ROW_mens.csv,28.17
1952,1956,1.0,4.0,10.0,0.0,1.0,False,Finland_ROW_mens.csv,10.0
1956,1960,-2.0,0.0,-6.0,-2.0,0.0455,True,Finland_ROW_mens.csv,6.0
1960,1964,-2.0,0.0,-4.67,-2.449,0.01431,True,Finland_ROW_mens.csv,4.67
1972,1976,0.0,1.0,1.17,1.095,0.27332,False,Finland_ROW_mens.csv,1.17
1980,1984,0.0,0.0,0.0,0.0,1.0,False,Finland_ROW_mens.csv,0.0
1984,1988,-1.0,0.0,-1.67,-1.225,0.22067,False,Finland_ROW_mens.csv,1.67
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Finland_ROW_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Poland_CRD_mens.csv,0.0
1924,1928,2.0,4.0,15.0,8.485,0.0,True,Japan_SWM_mens.csv,15.0
1928,1932,1.0,12.0,22.1,3.529,0.00042,True,Japan_SWM_mens.csv,22.1
1932,1936,1.0,8.0,15.0,4.564,1e-05,True,Japan_SWM_mens.csv,15.0
1952,1956,-2.0,5.0,-8.17,-4.099,4e-05,True,Japan_SWM_mens.csv,8.17
1956,1960,0.0,9.0,10.5,6.0,0.0,True,Japan_SWM_mens.csv,10.5
1960,1964,-3.0,3.0,-10.61,-1.885,0.05941,False,Japan_SWM_mens.csv,10.61
1964,1968,-1.0,0.0,-3.67,-1.225,0.22067,False,Japan_SWM_mens.csv,3.67
1968,1972,1.0,0.0,4.0,0.0,1.0,False,Japan_SWM_mens.csv,4.0
1972,1976,-2.0,0.0,-7.0,0.0,1.0,False,Japan_SWM_mens.csv,7.0
1984,1988,1.0,0.0,3.0,1.155,0.24821,False,Japan_SWM_mens.csv,3.0
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Japan_SWM_mens.csv,0.0
1992,1996,0.0,0.0,0.0,0.0,1.0,False,Japan_SWM_mens.csv,0.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,Japan_SWM_mens.csv,0.0
2000,2004,4.0,3.0,14.4,7.303,0.0,True,Japan_SWM_mens.csv,14.4
2004,2008,0.0,3.0,4.0,2.0,0.0455,True,Japan_SWM_mens.csv,4.0
2008,2012,0.0,2.0,3.11,1.604,0.10881,False,Japan_SWM_mens.csv,3.11
2012,2016,-1.0,3.0,1.5,0.423,0.67214,False,Japan_SWM_mens.csv,1.5
2016,2020,-4.0,1.0,-12.18,-3.659,0.00025,True,Japan_SWM_mens.csv,12.18
2020,2024,-1.0,1.0,-1.24,-0.429,0.66808,False,Japan_SWM_mens.csv,1.24
1992,1996,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BDM_womens.csv,0.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BDM_womens.csv,0.0
2012,2016,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BDM_womens.csv,0.0
1960,1964,1.0,0.0,3.5,1.414,0.1573,False,Ghana_BOX_mens.csv,3.5
1964,1968,0.0,0.0,0.0,0.0,1.0,False,Ghana_BOX_mens.csv,0.0
1968,1972,1.0,0.0,2.0,1.225,0.22067,False,Ghana_BOX_mens.csv,2.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Poland_CRD_womens.csv,0.0
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_womens.csv,0.0
1992,1996,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_womens.csv,0.0
2008,2012,0.0,0.0,0.0,0.0,1.0,False,Japan_CTR_womens.csv,0.0
2020,2024,-1.0,0.0,-7.0,0.0,1.0,False,Japan_CTR_womens.csv,7.0
1992,1996,1.0,2.0,6.0,0.0,1.0,False,Germany_ARC_womens.csv,6.0
2000,2004,-1.0,0.0,-3.0,0.0,1.0,False,Germany_ARC_womens.csv,3.0
2016,2020,0.0,2.0,3.0,0.0,1.0,False,Germany_ARC_womens.csv,3.0
2020,2024,-1.0,0.0,-1.5,-1.414,0.1573,False,Germany_ARC_womens.csv,1.5
2012,2016,0.0,0.0,0.0,0.0,1.0,False,Russia_BDM_mens.csv,0.0
2016,2020,0.0,0.0,0.0,0.0,1.0,False,Russia_BDM_mens.csv,0.0
1996,2000,1.0,1.0,4.0,0.0,1.0,False,Estonia_JUD_mens.csv,4.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Luxembourg_SHO_mens.csv,0.0
1988,1992,0.0,0.0,0.0,0.0,1.0,False,Luxembourg_SHO_mens.csv,0.0
1920,1924,0.0,0.0,0.0,0.0,1.0,False,Norway_MPN_mens.csv,0.0
2020,2024,0.0,0.0,0.0,0.0,1.0,False,Romania_CSP_mens.csv,0.0
1996,2000,0.0,2.0,2.6,0.494,0.62156,False,Georgia_WRF_mens.csv,2.6
2000,2004,-3.0,1.0,-2.74,-0.883,0.37716,False,Georgia_WRF_mens.csv,2.74
2004,2008,2.0,1.0,6.0,1.793,0.073,False,Georgia_WRF_mens.csv,6.0
2008,2012,-1.0,5.0,-0.59,-0.118,0.9058,False,Georgia_WRF_mens.csv,0.59
2012,2016,0.0,2.0,2.44,0.428,0.66843,False,Georgia_WRF_mens.csv,2.44
2016,2020,0.0,1.0,1.4,0.377,0.70645,False,Georgia_WRF_mens.csv,1.4
2020,2024,0.0,1.0,1.75,0.566,0.57132,False,Georgia_WRF_mens.csv,1.75
1984,1988,-5.0,0.0,-12.0,0.0,1.0,False,South_Korea_BKB_womens.csv,12.0
1996,2000,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BKB_womens.csv,0.0
2000,2004,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BKB_womens.csv,0.0
2004,2008,0.0,0.0,0.0,0.0,1.0,False,South_Korea_BKB_womens.csv,0.0
1924,1928,-1.0,0.0,-6.0,0.0,1.0,False,Australia_ATH_mens.csv,6.0
1948,1952,0.0,0.0,0.0,0.0,1.0,False,Australia_ATH_mens.csv,0.0
1952,1956,1.0,8.0,18.15,2.049,0.04049,True,Australia_ATH_mens.csv,18.15
1956,1960,-2.0,2.0,-0.47,-0.111,0.9113,False,Australia_ATH_mens.csv,0.47
1960,1964,-1.0,1.0,-2.67,-0.688,0.4913,False,Australia_ATH_mens.csv,2.67
1964,1968,-1.0,2.0,-0.29,-0.085,0.93209,False,Australia_ATH_mens.csv,0.29
1968,1972,0.0,0.0,0.0,0.0,1.0,False,Australia_ATH_mens.csv,0.0
1972,1976,0.0,0.0,0.0,0.0,1.0,False,Australia_ATH_mens.csv,0.0
1976,1980,1.0,0.0,3.5,1.155,0.24821,False,Australia_ATH_mens.csv,3.5
1980,1984,0.0,0.0,0.0,0.0,1.0,False,Australia_ATH_mens.csv,0.0
1984,1988,0.0,0.0,0.0,0.0,1.0,False,Australia_ATH_mens.csv,0.0
1988,1992,0.0,1.0,1.78,1.061,0.28884,False,Australia_ATH_mens.csv,1.78
1992,1996,-1.0,0.0,-4.12,-1.069,0.28505,False,Australia_ATH_mens.csv,4.12
1996,2000,0.0,1.0,1.45,1.018,0.30882,False,Australia_ATH_mens.csv,1.45
2000,2004,2.0,3.0,10.1,2.522,0.01166,True,Australia_ATH_mens.csv,10.1
2004,2008,-2.0,2.0,-1.83,-0.377,0.70647,False,Australia_ATH_mens.csv,1.83
2008,2012,-2.0,1.0,-3.24,-0.686,0.49244,False,Australia_ATH_mens.csv,3.24
2012,2016,0.0,1.0,1.45,0.321,0.74851,False,Australia_ATH_mens.csv,1.45
2016,2020,0.0,1.0,1.65,1.031,0.30265,False,Australia_ATH_mens.csv,1.65
