Athlete,Gender,Country,Country Code,Year,City,Sport,Event,Medal,Multiple Events
Flix Mrquez,M,Venezuela,VEN,1968,Mexico City,Boxing,Boxing Men's Flyweight,No medal,False
Vicente Matute,M,Venezuela,VEN,1952,Helsinki,Boxing,Boxing Men's Lightweight,No medal,False
Armando Mendoza,M,Venezuela,VEN,1968,Mexico City,Boxing,Boxing Men's Lightweight,No medal,False
Jonny Alvorado,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Flyweight,No medal,False
Miguel Guerra,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Light-Flyweight,No medal,False
Edgar Mata,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Light-Heavyweight,No medal,True
Edgar Mata,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Super-Heavyweight,No medal,True
Jess Navas,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Light-Welterweight,No medal,False
Pedro Nieves,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Light-Flyweight,No medal,False
Fulgencio (obel-),M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Middleweight,No medal,False
Fidel Odreman,M,Venezuela,VEN,1960,Roma,Boxing,Boxing Men's Middleweight,No medal,False
Angel Pacheco,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Featherweight,No medal,False
Jos Julio,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Super-Heavyweight,No medal,False
Alfredo Prez,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Flyweight,No medal,False
Jos Prez,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Lightweight,No medal,False
Bernardo Figuera,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Bantamweight,Silver,False
Jean Pasedo,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Welterweight,No medal,False
Faustino Quinales,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Middleweight,No medal,False
Albert Durn,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,No medal,False
Jovito Rengifo,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Bantamweight,No medal,False
Jackson Rivera,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Light-Middleweight,No medal,False
Carlos Rodrguez,M,Venezuela,VEN,1956,Melbourne,Boxing,Boxing Men's Light-Welterweight,No medal,False
Francisco Brito,M,Venezuela,VEN,1968,Mexico City,Boxing,Boxing Men's Light-Flyweight,Gold,True
Francisco Brito,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Light-Flyweight,No medal,True
Luis Rodrguez,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Lightweight,No medal,False
Nelson Rodrguez,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Light-Welterweight,No medal,False
Vctor Villavicencio,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,No medal,False
Mario Romero,M,Venezuela,VEN,1960,Roma,Boxing,Boxing Men's Lightweight,No medal,False
Nelson Ruiz,M,Venezuela,VEN,1968,Mexico City,Boxing,Boxing Men's Light-Welterweight,No medal,False
Endry Pinto,M,Venezuela,VEN,2016,Rio de Janeiro,Boxing,Boxing Men's Middleweight,No medal,False
Ernesto Snchez,M,Venezuela,VEN,1972,Munich,Boxing,Boxing Men's Light-Heavyweight,No medal,True
Ernesto Snchez,M,Venezuela,VEN,1976,Montreal,Boxing,Boxing Men's Light-Heavyweight,No medal,True
Jonny Miquilena,M,Venezuela,VEN,2008,Beijing,Boxing,Boxing Men's Light-Welterweight,No medal,False
David Surez,M,Venezuela,VEN,1992,Barcelona,Boxing,Boxing Men's Flyweight,No medal,False
Abraham Torres,M,Venezuela,VEN,1988,Seoul,Boxing,Boxing Men's Bantamweight,No medal,False
Enrique Tovar,M,Venezuela,VEN,1956,Melbourne,Boxing,Boxing Men's Welterweight,No medal,False
Nelson Trujillo,M,Venezuela,VEN,1980,Moskva,Boxing,Boxing Men's Lightweight,No medal,False
Jos Bustamente,M,Venezuela,VEN,2000,Sydney,Boxing,Boxing Men's Light-Flyweight,No medal,False
Wilmer Torres,M,Venezuela,VEN,2004,Athina,Boxing,Boxing Men's Heavyweight,No medal,False
Manuel Surez,M,Venezuela,VEN,1984,Los Angeles,Boxing,Boxing Men's Bantamweight,No medal,False
Hely Ynes,M,Venezuela,VEN,2000,Sydney,Boxing,Boxing Men's Light-Middleweight,No medal,False
Raimundo Rivas,M,Venezuela,VEN,1992,Barcelona,Boxing,Boxing Men's Light-Heavyweight,No medal,False
Yoel Finol,M,Venezuela,VEN,2020,Tokyo,Boxing,Men's Fly (48-52kg),No medal,False
Nalek Korbaj,M,Venezuela,VEN,2020,Tokyo,Boxing,Men's Light Heavy (75-81kg),No medal,False
Nazaret Cova,M,Venezuela,VEN,2024,Paris,Boxing,Men's 63.5kg,No medal,False
