Athlete,Country,Event,First event,Gender
Wei Goh,MAS,BDM,True,F
Pearly Tan,MAS,BDM,True,F
Muralitharan Thinaah,MAS,BDM,True,F
Wei Toh,MAS,BDM,True,F
Alanna Kennedy,AUS,FBL,False,F
Caitlin Foord,AUS,FBL,False,F
Clare Polkinghorne,AUS,FBL,False,F
Clare Hunt,AUS,FBL,True,F
Clare Wheeler,AUS,FBL,True,F
Cortnee Vine,AUS,FBL,True,F
Ellie Carpenter,AUS,FBL,False,F
van Emily,AUS,FBL,False,F
Hayley Raso,AUS,FBL,False,F
Kaitlyn Torpey,AUS,FBL,True,F
Katrina Gorry,AUS,FBL,True,F
Kyra Cooney-cross,AUS,FBL,False,F
Mackenzie Arnold,AUS,FBL,False,F
Mary Fowler,AUS,FBL,False,F
Michelle Heyman,AUS,FBL,False,F
Sharn Freier,AUS,FBL,True,F
Steph Catley,AUS,FBL,False,F
Tameka Yallop,AUS,FBL,False,F
Teagan Micah,AUS,FBL,False,F
van Sharon,NED,OWS,False,F
Sogo Kassman,PNG,TKW,True,M
Kaogo Mara,PNG,TKW,True,M
Johanne Schmidt,DEN,SAL,True,F
Andrea Schmidt,DEN,SAL,True,F
Violet Saouma-pedersen,DEN,SAL,True,F
Anne-marie Rindom,DEN,SAL,False,F
Ricarda Funk,GER,CSL,False,F
Ricarda Funk,GER,CSL,False,F
Elena Lilik,GER,CSL,True,F
Elena Lilik,GER,CSL,True,F
Jambaljamts Sainbayar,MGL,CRD,True,M
Jambaljamts Sainbayar,MGL,CRD,True,M
Malgorzata Korycka,POL,EVE,True,F
Malgorzata Korycka,POL,EVE,True,F
Wiktoria Knap,POL,EVE,True,F
Wiktoria Knap,POL,EVE,True,F
Yeonkyung Hur,KOR,SWM,True,F
Yeonkyung Hur,KOR,SWM,True,F
Seoyeong Kim,KOR,SWM,True,F
Eunji Lee,KOR,SWM,True,F
Eunji Lee,KOR,SWM,True,F
Ihab Abdelrahman,EGY,ATH,False,M
Mohamed Khalifa,EGY,ATH,True,M
Mostafa Elgamel,EGY,ATH,False,M
Moustafa Mahmoud,EGY,ATH,True,M
Amr Hassan,EGY,ATH,False,M
Pyae Han,MYA,SWM,True,M
Berntsen Mol,NOR,VBV,False,M
Sandlie Soerum,NOR,VBV,True,M
Miwa Harimoto,JPN,TTE,True,F
Hina Hayata,JPN,TTE,True,F
Hina Hayata,JPN,TTE,True,F
Hina Hayata,JPN,TTE,True,F
Miu Hirano,JPN,TTE,False,F
Miu Hirano,JPN,TTE,False,F
Kacie Bosch,CAN,BK3,True,F
Paige Crozon,CAN,BK3,True,F
Katherine Plouffe,CAN,BK3,True,F
Michelle Plouffe,CAN,BK3,True,F
Lasha Guruli,GEO,BOX,True,M
Georgii Kushitashvili,GEO,BOX,True,M
Valentin Betoudji,CHA,ATH,True,M
Shannon Cox,NZL,ROW,True,F
Alana Sherman,NZL,ROW,True,F
Jackie Gowler,NZL,ROW,False,F
Kerri Williams,NZL,ROW,True,F
Jackie Kiddle,NZL,ROW,True,F
Davina Waddy,NZL,ROW,True,F
Phoebe Spoors,NZL,ROW,True,F
Lucy Spoors,NZL,ROW,False,F
Emma Twigg,NZL,ROW,False,F
Brooke Francis,NZL,ROW,True,F
Kate Haines,NZL,ROW,True,F
Theo Druenne,MON,SWM,False,M
Evy Leibfarth,USA,CSL,False,F
Evy Leibfarth,USA,CSL,False,F
Evy Leibfarth,USA,CSL,False,F
Georgia Hall,GBR,GLF,True,F
Charley Hull,GBR,GLF,False,F
Jason Day,AUS,GLF,True,M
Woo Lee,AUS,GLF,True,M
Srihari Nataraj,IND,SWM,False,M
Nahyun Kim,KOR,DIV,True,F
Suji Kim,KOR,DIV,True,F
Woongtae Jun,KOR,MPN,True,M
Changwan Seo,KOR,MPN,True,M
Thomas Mlugu,TAN,JUD,True,M
671,CHN,BKG,True,F
Zi Ying,CHN,BKG,True,F
Stanislaw Aniolkowski,POL,CRD,True,M
Michal Kwiatkowski,POL,CRD,False,M
Hidekazu Takehara,JPN,SWM,True,M
Genki Terakado,JPN,SWM,True,M
Hidenari Mano,JPN,SWM,True,M
Hidenari Mano,JPN,SWM,True,M
Yu Hanaguruma,JPN,SWM,True,M
Tomoru Honda,JPN,SWM,False,M
Naoki Mizunuma,JPN,SWM,False,M
Naoki Mizunuma,JPN,SWM,False,M
Katsuhiro Matsumoto,JPN,SWM,False,M
Katsuhiro Matsumoto,JPN,SWM,False,M
Katsuhiro Matsumoto,JPN,SWM,False,M
Katsuhiro Matsumoto,JPN,SWM,False,M
Ippei Watanabe,JPN,SWM,False,M
Daiya Seto,JPN,SWM,False,M
Daiya Seto,JPN,SWM,False,M
Tatsuya Murasa,JPN,SWM,True,M
Tatsuya Murasa,JPN,SWM,True,M
Taku Taniguchi,JPN,SWM,True,M
Taku Taniguchi,JPN,SWM,True,M
Taku Taniguchi,JPN,SWM,True,M
Tomoyuki Matsushita,JPN,SWM,True,M
Riku Matsuyama,JPN,SWM,True,M
Riku Matsuyama,JPN,SWM,True,M
Riku Matsuyama,JPN,SWM,True,M
Konosuke Yanagimoto,JPN,SWM,False,M
Konosuke Yanagimoto,JPN,SWM,False,M
Ekaterina Vedeneeva,SLO,GRY,False,F
Katarzyna Niewiadoma,POL,CRD,False,F
Agnieszka Skalniak-sojka,POL,CRD,True,F
Agnieszka Skalniak-sojka,POL,CRD,True,F
Marta Lach,POL,CRD,False,F
Marta Lach,POL,CRD,False,F
Maho Kakita,JPN,CTR,True,F
Maho Kakita,JPN,CTR,True,F
Mizuki Ikeda,JPN,CTR,True,F
Mizuki Ikeda,JPN,CTR,True,F
Tsuyaka Uchino,JPN,CTR,True,F
Tsuyaka Uchino,JPN,CTR,True,F
Tsuyaka Uchino,JPN,CTR,True,F
Mina Sato,JPN,CTR,True,F
Mina Sato,JPN,CTR,True,F
Fuko Umekawa,JPN,CTR,True,F
Riyu Ohta,JPN,CTR,True,F
Riyu Ohta,JPN,CTR,True,F
Yumi Kajihara,JPN,CTR,False,F
Yumi Kajihara,JPN,CTR,False,F
Jordy Smith,RSA,SRF,True,M
McGILLIVRAY Matthew,RSA,SRF,True,M
Katharina Bauer,GER,ARC,True,F
Katharina Bauer,GER,ARC,True,F
Michelle Kroppen,GER,ARC,False,F
Michelle Kroppen,GER,ARC,False,F
Michelle Kroppen,GER,ARC,False,F
Charline Schwarz,GER,ARC,False,F
Charline Schwarz,GER,ARC,False,F
Chen Xue,CHN,VBV,False,F
Xinyi Xia,CHN,VBV,False,F
Kristofer Kaljulaid,EST,JUD,True,M
Yarimar Mercado,PUR,SHO,False,F
Yarimar Mercado,PUR,SHO,False,F
Catalin Chirila,ROU,CSP,False,M
Oleg Nuta,ROU,CSP,True,M
Ilie Sprincean,ROU,CSP,True,M
Lasha Gobadze,GEO,WRF,False,M
Roberti Kobliashvili,GEO,WRF,False,M
Ramaz Zoidze,GEO,WRF,False,M
Givi Matcharashvili,GEO,WRF,True,M
Geno Petriashvili,GEO,WRF,False,M
Goderdzi Dzebisashvili,GEO,WRF,True,M
Vladimeri Gamkrelidze,GEO,WRF,True,M
Alan Cleland,MEX,SRF,True,M
Adam Spencer,AUS,ATH,True,M
Andrew Buchanan,AUS,ATH,True,M
Ashley Moloney,AUS,ATH,False,M
Ben Buckingham,AUS,ATH,False,M
Brandon Starc,AUS,ATH,False,M
Calab Law,AUS,ATH,True,M
Calab Law,AUS,ATH,True,M
McENTYRE Cameron,AUS,ATH,True,M
Christopher Mitrevski,AUS,ATH,True,M
Christopher Ius,AUS,ATH,True,M
Connor Murphy,AUS,ATH,True,M
Declan Tingay,AUS,ATH,False,M
Declan Tingay,AUS,ATH,False,M
Jacob Despard,AUS,ATH,True,M
Joel Baden,AUS,ATH,False,M
Joseph Deng,AUS,ATH,True,M
Joshua Azzopardi,AUS,ATH,True,M
Joshua Azzopardi,AUS,ATH,True,M
Kurtis Marschall,AUS,ATH,False,M
Kyle Swan,AUS,ATH,False,M
Lachlan Kennedy,AUS,ATH,True,M
Liam Adams,AUS,ATH,False,M
Liam Adcock,AUS,ATH,True,M
Matthew Clarke,AUS,ATH,False,M
Matthew Denny,AUS,ATH,False,M
McDONALD Morgan,AUS,ATH,False,M
Peter Bol,AUS,ATH,False,M
Oliver Hoare,AUS,ATH,False,M
Patrick Tiernan,AUS,ATH,False,M
Peyton Craig,AUS,ATH,True,M
Reece Holder,AUS,ATH,True,M
Rhydian Cowley,AUS,ATH,False,M
Rhydian Cowley,AUS,ATH,False,M
Rohan Browning,AUS,ATH,False,M
Rohan Browning,AUS,ATH,False,M
Sebastian Sultana,AUS,ATH,True,M
McSWEYN Stewart,AUS,ATH,False,M
McSWEYN Stewart,AUS,ATH,False,M
Tayleb Willis,AUS,ATH,True,M
Will Thompson,AUS,ATH,True,M
Yual Reath,AUS,ATH,True,M
Daniel Golubovic,AUS,ATH,True,M
David Liti,NZL,WLF,True,M
Isabel Esteban,CIV,FEN,True,F
T Flarup,DEN,EVE,True,M
Daniela Alvarez,ESP,VBV,True,F
Liliana Fernandez,ESP,VBV,False,F
Tania Moreno,ESP,VBV,True,F
Paula Soria,ESP,VBV,True,F
Brenda Rojas,ARG,CSP,False,F
Kamren Larsen,USA,BMX,True,M
Jeremy Smith,USA,BMX,True,M
Cameron Wood,USA,BMX,True,M
Laura Lindemann,GER,TRI,False,F
Nina Eim,GER,TRI,True,F
Lisa Tertsch,GER,TRI,True,F
Zhiyu Liu,CHN,ROW,False,M
Adilijiang Sulitan,CHN,ROW,True,M
Jovana Kuljaca,MNE,SWM,True,F
Eduardo Sepulveda,ARG,CRD,False,M
Jelena Eric,SRB,CRD,True,F
Xin Quan,CHN,CSL,False,M
Xin Quan,CHN,CSL,False,M
Maria Carmona,NCA,ATH,True,F
Erika Lasso,COL,JUD,True,F
Lena Bickel,SUI,GAR,True,F
Lena Bickel,SUI,GAR,True,F
Lena Bickel,SUI,GAR,True,F
Lena Bickel,SUI,GAR,True,F
Lena Bickel,SUI,GAR,True,F
Lena Bickel,SUI,GAR,True,F
Philli Seidler,NAM,OWS,True,M
Maximilian Maeder,SGP,SAL,True,M
Ryan Lo,SGP,SAL,False,M
Muhammad Zohri,INA,ATH,False,M
Fanni Pigniczki,HUN,GRY,False,F
Sofia Flores,MEX,GRY,True,F
Kimberly Salazar,MEX,GRY,True,F
Adirem Tejeda,MEX,GRY,True,F
Dalia Alcocer,MEX,GRY,True,F
Julia Gutierrez,MEX,GRY,True,F
Aimee Canny,RSA,SWM,False,F
Rebecca Meder,RSA,SWM,False,F
Erin Gallagher,RSA,SWM,False,F
Tatjana Smith,RSA,SWM,True,F
Tatjana Smith,RSA,SWM,True,F
Kaylene Corbett,RSA,SWM,False,F
Akwasi Afrifah,ISR,ATH,True,M
Girmaw Amare,ISR,ATH,False,M
Haimro Alame,ISR,ATH,False,M
Maru Teferi,ISR,ATH,False,M
Gashau Ayale,ISR,ATH,True,M
Abderrahmane Boushita,MAR,JUD,True,M
Achraf Moutii,MAR,JUD,True,M
Taylor Knibb,USA,TRI,False,F
Taylor Knibb,USA,TRI,False,F
Kirsten Kasper,USA,TRI,True,F
Taylor Spivey,USA,TRI,True,F
McKEE Anton,ISL,SWM,False,M
McKEE Anton,ISL,SWM,False,M
Danil Mussabayev,KAZ,GTR,True,M
Aoife Clark,IRL,EVE,True,F
Aoife Clark,IRL,EVE,True,F
Sarah Ennis,IRL,EVE,False,F
Sarah Ennis,IRL,EVE,False,F
Susannah Berry,IRL,EVE,True,F
Susannah Berry,IRL,EVE,True,F
Serdar Rahimov,TKM,JUD,True,M
Megan Armitage,IRL,CRD,True,F
Katinka Battai,HUN,FEN,False,F
Anna Marton,HUN,FEN,False,F
Anna Marton,HUN,FEN,False,F
Eszter Muhari,HUN,FEN,True,F
Flora Pasztor,HUN,FEN,False,F
Liza Pusztai,HUN,FEN,False,F
Liza Pusztai,HUN,FEN,False,F
Virag Szucs,HUN,FEN,True,F
Virag Szucs,HUN,FEN,True,F
Scott Brash,GBR,EJP,False,M
Scott Brash,GBR,EJP,False,M
Harry Charles,GBR,EJP,False,M
Harry Charles,GBR,EJP,False,M
Joseph Stockdale,GBR,EJP,True,M
Ben Maher,GBR,EJP,False,M
Ben Maher,GBR,EJP,False,M
Wassila Lkhadiri,FRA,BOX,True,F
Amina Zidani,FRA,BOX,True,F
Estelle Mossely,FRA,BOX,False,F
Davina Michel,FRA,BOX,True,F
Farzaneh Fasihi,IRI,ATH,True,F
Julia Vincent,RSA,DIV,False,F
Lucie Hlavackova,CZE,MPN,True,F
Veronika Novotna,CZE,MPN,True,F
Emma Finlin,CAN,OWS,True,F
Long Cheung,HKG,FEN,False,M
Hang Ho,HKG,FEN,True,M
Alexandr Yeremenko,KAZ,ARC,True,M
Alexandr Yeremenko,KAZ,ARC,True,M
Ilfat Abdullin,KAZ,ARC,False,M
Ilfat Abdullin,KAZ,ARC,False,M
Dauletkeldi Zhangbyrbay,KAZ,ARC,True,M
Dauletkeldi Zhangbyrbay,KAZ,ARC,True,M
Ting Wong,HKG,TTE,False,M
Ting Wong,HKG,TTE,False,M
Javier Ibanez,BUL,BOX,True,M
Simeonov Rosenov,BUL,BOX,True,M
Mofid Kiwan,BUL,BOX,True,M
Davranbek Hasanbayev,TKM,WLF,True,M
Emil Bjorch,FRA,WPO,True,M
Alexandre Bodegas,FRA,WPO,True,M
Alexandre Bouet,FRA,WPO,True,M
Ugo Crousillat,FRA,WPO,False,M
Clement Dubois,FRA,WPO,True,M
Hugo Fontani,FRA,WPO,True,M
Enzo Khasz,FRA,WPO,False,M
Mehdi Marzouki,FRA,WPO,False,M
Romain Marion,FRA,WPO,True,M
Enzo Nardon,FRA,WPO,True,M
Remi Saudadier,FRA,WPO,True,M
Pierre-frederic Vanpeperstraete,FRA,WPO,True,M
Thomas Vernoux,FRA,WPO,True,M
Ingrid Puusta,EST,SAL,False,F
Steven Insixiengmay,LAO,SWM,True,M
Chih-chun Tang,TPE,ARC,False,M
Chih-chun Tang,TPE,ARC,False,M
Yu-hsuan Tai,TPE,ARC,True,M
Yu-hsuan Tai,TPE,ARC,True,M
Yu-hsuan Tai,TPE,ARC,True,M
Zih-siang Lin,TPE,ARC,True,M
Zih-siang Lin,TPE,ARC,True,M
Nada Mohamed,EGY,WRF,True,F
Ali Aghamirzaeijenaghard,IRI,CSP,True,M
Nabi Rezaei,IRI,CSP,True,M
Ayse Tekdal,TUR,ATH,True,F
Buse Savaskan,TUR,ATH,True,F
Eda Tugsuz,TUR,ATH,True,F
Emel Dereli,TUR,ATH,True,F
Meryem Bekmez,TUR,ATH,True,F
Tugba Danismaz,TUR,ATH,True,F
Milan Trajkovic,CYP,ATH,False,M
Viktorija Andrulyte,LTU,SAL,False,F
Moez Echargui,TUN,TEN,True,M
Dani Martinez,COL,CRD,True,M
Santi Buitrago,COL,CRD,True,M
Wen Huang,TPE,BOX,True,F
Ting Lin,TPE,BOX,True,F
Yi Wu,TPE,BOX,True,F
Chin Chen,TPE,BOX,True,F
Valentin Otero,URU,CSP,True,M
Carmel Kone,BUR,JUD,True,M
Adam Burgess,GBR,CSL,False,M
Adam Burgess,GBR,CSL,False,M
Joseph Clarke,GBR,CSL,False,M
Joseph Clarke,GBR,CSL,False,M
Nicholas D'amour,ISV,ARC,True,M
Martti Puumalainen,FIN,JUD,True,M
Luukas Saha,FIN,JUD,True,M
Dario Ivanovski,MKD,ATH,True,M
Matt Aldridge,GBR,ROW,True,M
David Ambler,GBR,ROW,True,M
Thomas Barras,GBR,ROW,True,M
Morgan Bolding,GBR,ROW,True,M
Harry Brightmore,GBR,ROW,True,M
Sholto Carnegie,GBR,ROW,False,M
Freddie Davidson,GBR,ROW,True,M
Jacob Dawson,GBR,ROW,False,M
Tom Digby,GBR,ROW,True,M
Callum Dixon,GBR,ROW,True,M
Charles Elwes,GBR,ROW,False,M
Henry Fieldman,GBR,ROW,False,M
Tom Ford,GBR,ROW,False,M
Tom George,GBR,ROW,False,M
Rory Gibbs,GBR,ROW,False,M
Matthew Haywood,GBR,ROW,True,M
James Rudkin,GBR,ROW,False,M
Graeme Thomas,GBR,ROW,False,M
Oliver Wilkes,GBR,ROW,True,M
Oliver Wynne-griffith,GBR,ROW,False,M
Iuniarra Sipaia,SAM,WLF,True,F
Higinio Ndong,GEQ,SWM,True,M
Eid Naser,BRN,ATH,True,F
Kemi Adekoya,BRN,ATH,True,F
Winfred Yavi,BRN,ATH,True,F
Chebichii Chumba,BRN,ATH,False,F
Rose Chelimo,BRN,ATH,False,F
Tigist Gashaw,BRN,ATH,True,F
Nelly Jepkosgei,BRN,ATH,True,F
Stiliana Nikolova,BUL,GRY,True,F
Boryana Kaleyn,BUL,GRY,False,F
Sofia Ivanova,BUL,GRY,True,F
Kamelia Petrova,BUL,GRY,True,F
Rachel Stoyanov,BUL,GRY,True,F
Magdalina Minevska,BUL,GRY,True,F
Margarita Vasileva,BUL,GRY,True,F
Ashleigh Buhai,RSA,GLF,True,F
Paula Reto,RSA,GLF,False,F
Mart Seim,EST,WLF,False,M
Sylvain Fridelance,SUI,TRI,True,M
Adrien Briffod,SUI,TRI,True,M
Max Studer,SUI,TRI,False,M
Simon Westermann,SUI,TRI,True,M
Perry Baker,USA,RU7,False,M
Orrin Bizer,USA,RU7,True,M
Adam Channel,USA,RU7,True,M
Aaron Cummings,USA,RU7,True,M
Malacchi Esdale,USA,RU7,True,M
Naima Fuala'au,USA,RU7,True,M
Madison Hughes,USA,RU7,False,M
Lucas Lacamp,USA,RU7,True,M
Steve Tomasin,USA,RU7,False,M
Marcus Tupuola,USA,RU7,True,M
Maka Unufe,USA,RU7,True,M
Pita Vi,USA,RU7,True,M
Kevon Williams,USA,RU7,False,M
Matai Leuta,USA,RU7,False,M
Diego Moya,CHI,TRI,False,M
Gaspar Riveros,CHI,TRI,True,M
Lika Kharchilava,GEO,ATH,True,F
Aaron Chia,MAS,BDM,False,M
Jie Chen,MAS,BDM,True,M
Jia Lee,MAS,BDM,False,M
Yik Soh,MAS,BDM,False,M
David Betlehem,HUN,SWM,True,M
David Betlehem,HUN,SWM,True,M
Balazs Hollo,HUN,SWM,False,M
Adam Jaszo,HUN,SWM,True,M
Adam Jaszo,HUN,SWM,True,M
Hubert Kos,HUN,SWM,False,M
Hubert Kos,HUN,SWM,False,M
Hubert Kos,HUN,SWM,False,M
Hubert Kos,HUN,SWM,False,M
Richard Marton,HUN,SWM,False,M
Kristof Milak,HUN,SWM,False,M
Kristof Milak,HUN,SWM,False,M
Nandor Nemeth,HUN,SWM,False,M
Nandor Nemeth,HUN,SWM,False,M
Nandor Nemeth,HUN,SWM,False,M
Zalan Sarkany,HUN,SWM,True,M
Zalan Sarkany,HUN,SWM,True,M
Zalan Sarkany,HUN,SWM,True,M
Szebasztian Szabo,HUN,SWM,False,M
Szebasztian Szabo,HUN,SWM,False,M
Adam Telegdy,HUN,SWM,False,M
Gabor Zombori,HUN,SWM,False,M
Gabor Zombori,HUN,SWM,False,M
van Natalie,AUS,TRI,True,F
Sophie Linn,AUS,TRI,True,F
Blanka Boede,HUN,HBL,True,F
Anna Albek,HUN,HBL,True,F
Reka Bordas,HUN,HBL,False,F
Csenge Kuczora,HUN,HBL,True,F
Nadine Szollosi-schatzl,HUN,HBL,True,F
Greta Marton,HUN,HBL,False,F
Petra Simon,HUN,HBL,True,F
Viktoria Gyori-lukacs,HUN,HBL,True,F
Nikoletta Papp,HUN,HBL,True,F
Anita Fuezi,HUN,HBL,True,F
Noemi Pasztor,HUN,HBL,True,F
Petra Vamos,HUN,HBL,False,F
Kinga Debreczeni-klivinyi,HUN,HBL,True,F
Katrin Klujber,HUN,HBL,True,F
Kinga Janurik,HUN,HBL,False,F
Zsofi Szemerey,HUN,HBL,True,F
Greta Kacsor,HUN,HBL,True,F
Luca Schwarzbauer,GER,MTB,True,M
Julian Schelb,GER,MTB,True,M
NICKA,LTU,BKG,True,F
Elmira Karapetyan,ARM,SHO,False,F
Hamed Al,OMA,SWM,False,M
Naima-zahra Amison,DJI,SWM,True,F
Tanja Zakelj,SLO,MTB,False,F
Yoana Ilieva,BUL,FEN,True,F
Paraskevi Spanaki,GRE,SAL,False,F
Mariya Stadnik,AZE,WRF,False,F
Masitsa Simiyu,KEN,VVO,True,F
Khayesi Kundu,KEN,VVO,False,F
Trizah Atuka,KEN,VVO,True,F
Adhiambo Owino,KEN,VVO,True,F
Chepchumba Kiprono,KEN,VVO,False,F
Edith Mukuvilani,KEN,VVO,False,F
Leonida Kasaya,KEN,VVO,False,F
Nekesa Misoki,KEN,VVO,True,F
Kemene Mutinda,KEN,VVO,True,F
Juliana Namutira,KEN,VVO,True,F
Chebet Kaei,KEN,VVO,False,F
Nanjala Barasa,KEN,VVO,True,F
Adhiambo Oluoch,KEN,VVO,True,F
Jesper Hansen,DEN,SHO,False,M
Nora Moerk,NOR,HBL,False,F
Camilla Herrem,NOR,HBL,False,F
