Country Code,Gender,Event,bronze,silver,gold,total athletes
CHN,F,VBV,0,0,0,4
PAR,M,TTE,0,0,0,0
RUS,M,BDM,0,0,0,1
USA,M,GLF,0,0,0,0
EST,M,JUD,0,0,0,1
PUR,F,SHO,0,0,0,1
LUX,M,SHO,0,0,0,0
ISV,F,EVE,0,0,0,0
NOR,M,MPN,0,0,0,0
GBR,M,SAL,0,0,0,0
HKG,M,GAR,0,0,0,0
JPN,M,SAL,0,0,0,0
ROU,M,CSP,0,0,0,4
INA,F,FEN,0,0,0,0
UAR,M,WPO,0,0,0,0
PAR,M,FEN,0,0,0,0
SCG,M,FBL,0,0,0,0
MHL,M,TKW,0,0,0,0
ISL,M,ART,0,0,0,0
GEO,M,WRF,0,1,0,5
MEX,M,SRF,0,0,0,0
SWE,M,SAL,0,0,0,0
KOS,M,WRF,0,0,0,1
KOR,F,BKB,0,0,0,12
AUS,M,ATH,1,0,0,16
PAK,M,ROW,0,0,0,0
NZL,M,DIV,0,0,0,1
GUA,F,SAL,0,0,0,1
JAM,M,SHO,0,0,0,0
LAT,F,WLF,0,0,0,0
NZL,M,WLF,0,0,0,2
CIV,F,FEN,0,0,0,0
SGP,M,SHO,0,0,0,0
DEN,M,EVE,0,0,0,1
IND,F,HOC,0,0,0,14
SAA,F,ATH,0,0,0,0
ESP,F,VBV,0,0,0,2
SWE,F,WLF,0,0,0,1
ESA,F,WRF,0,0,0,0
MOZ,M,JUD,0,0,0,1
BIZ,F,ATH,0,0,0,1
NGR,F,ROW,0,0,0,1
ARG,F,CSP,0,0,0,2
USA,M,BMX,0,0,0,2
STP,F,ATH,0,0,0,0
GER,F,TRI,0,0,0,2
CHN,M,ROW,3,0,0,7
MNE,F,SWM,0,0,0,1
ARG,M,CRD,0,0,0,1
BIH,F,SHO,0,0,0,1
SRB,F,CRD,0,0,0,0
USA,M,GLF,0,0,0,0
MRI,M,TTE,0,0,0,0
CHN,M,CSL,0,0,0,1
USA,M,SAL,0,0,0,0
NCA,F,ATH,0,0,0,0
LTU,M,BKB,0,0,0,0
PUR,M,EVE,0,0,0,0
COL,F,JUD,0,0,0,1
JAM,M,SAL,0,0,0,0
SUI,F,GAR,0,0,0,0
NAM,M,OWS,0,0,0,1
SGP,M,SAL,0,0,0,1
BLR,M,JUD,0,0,0,2
INA,M,ATH,0,0,0,1
FRA,M,SAL,0,0,0,0
DEN,M,ROW,0,0,0,0
HUN,F,GRY,0,0,0,1
AHO,M,SWM,0,0,0,0
MEX,F,GRY,0,0,0,1
RSA,F,SWM,0,1,1,15
CAN,M,WPO,0,0,0,0
ISR,M,ATH,0,0,0,3
POR,F,GTR,0,0,0,0
MAR,M,JUD,0,0,0,0
AND,F,SAL,0,0,0,0
NZL,F,KTE,0,0,0,1
HUN,F,VVO,0,0,0,0
USA,F,TRI,1,3,0,6
ISL,M,SWM,0,0,0,1
KAZ,M,GTR,0,0,0,0
JPN,M,MTB,0,0,0,1
IRL,F,EVE,0,0,0,2
TKM,M,JUD,0,0,0,0
GRE,M,ROW,0,0,0,0
MEX,F,VVO,0,0,0,0
SUI,M,SAL,0,0,0,0
BRA,M,WPO,0,0,0,0
KSA,M,SHO,0,0,0,1
FRA,M,POL,0,0,0,0
MEX,F,FEN,0,0,0,0
IRL,F,CRD,0,0,0,0
HUN,F,FEN,0,0,0,13
GBR,M,EJP,0,0,1,6
FRA,F,BOX,0,0,0,1
LUX,M,SAL,0,0,0,0
BRU,F,ATH,0,0,0,0
PER,F,EVE,0,0,0,0
IRI,F,ATH,0,0,0,0
FIN,M,WLF,0,0,0,0
RSA,F,DIV,0,0,0,1
URU,M,MPN,0,0,0,0
FIN,M,DIV,0,0,0,0
JPN,F,VBV,0,0,0,0
CZE,F,MPN,0,0,0,0
CAN,F,OWS,0,0,0,1
HKG,M,FEN,0,0,1,7
KAZ,M,ARC,0,0,0,4
BLR,M,DIV,0,0,0,0
BLR,M,WLF,0,0,0,1
POR,M,SAL,0,0,0,0
TUR,F,SWM,0,0,0,12
FRA,M,SAL,0,0,0,0
ASA,F,SWM,0,0,0,1
HKG,M,TTE,0,0,0,6
HUN,M,ART,0,0,0,0
BUL,M,BOX,0,0,0,1
CIV,F,WRF,0,0,0,0
USA,M,GAR,0,0,0,0
NED,M,ROW,0,0,0,0
MAR,M,WLF,0,0,0,1
HUN,M,CTR,0,0,0,0
MRI,F,JUD,0,0,0,0
PER,F,WRF,0,0,0,0
TKM,M,WLF,0,0,0,3
FRA,M,WPO,0,0,0,0
EST,F,SAL,0,0,0,0
LAO,M,SWM,0,0,0,0
TTO,M,SAL,0,0,0,0
SUI,M,SAL,0,0,0,0
TPE,M,ARC,0,3,0,7
HKG,F,EVE,0,0,0,0
LAT,F,BKB,0,0,0,0
KOR,F,WLF,0,0,0,4
EGY,F,WRF,0,0,0,1
IRI,M,CSP,0,0,0,0
TUR,F,ATH,0,0,0,0
TUR,F,DIV,0,0,0,0
CYP,M,ATH,0,0,0,0
EOR,M,CSP,0,0,0,1
LTU,F,SAL,0,0,0,1
BEL,M,SAL,0,0,0,0
EUN,M,CTR,0,0,0,0
ALG,F,TEN,0,0,0,0
TUN,M,TEN,0,0,0,0
COL,M,CRD,0,0,0,5
GRE,F,VBV,0,0,0,0
CAN,M,LAX,0,0,0,0
BRA,M,SAL,0,0,0,0
TCH,M,WRF,0,0,0,0
NED,M,SAL,0,0,0,0
HAI,M,FEN,0,0,0,0
TPE,F,BOX,1,0,0,4
URU,M,CSP,0,0,0,0
SCG,M,SHO,0,0,0,0
SGP,F,CSL,0,0,0,0
BUR,M,JUD,0,0,0,1
GBR,M,CSL,0,0,0,2
OMA,M,CTR,0,0,0,0
ISV,M,ARC,0,0,0,0
RUS,F,GAR,0,1,3,28
FIN,M,JUD,0,0,0,0
LUX,M,FBL,0,0,0,0
MKD,M,ATH,0,0,0,1
GBR,M,ROW,8,2,0,15
EGY,M,TEN,0,0,0,1
BUL,F,VVO,0,0,0,0
SAM,F,WLF,0,0,0,0
EUN,F,EVE,0,0,0,0
SVK,M,CSP,4,0,0,7
GEQ,M,SWM,0,0,0,1
BLR,F,SWM,0,0,0,11
BRN,F,ATH,0,1,0,5
URU,M,SAL,0,0,0,0
UAE,F,EVE,0,0,0,0
BUL,F,GRY,0,0,5,7
ROU,M,MPN,0,0,0,0
BIZ,M,CSP,0,0,0,2
RSA,F,GLF,0,0,0,0
EST,M,WLF,0,0,0,0
NOR,M,CSP,0,0,0,1
NAM,F,CTR,0,0,0,0
NED,M,SAL,0,0,0,0
VEN,F,OWS,0,0,0,1
SUI,M,TRI,0,0,0,2
USA,M,RU7,0,0,0,7
CHI,M,TRI,0,0,0,1
GEO,F,ATH,0,0,0,1
KSA,M,FBL,0,0,0,22
TTO,F,JUD,0,0,0,1
MAS,M,BDM,2,0,0,4
ARG,F,TKW,0,0,0,0
YUG,F,TTE,0,0,0,0
HUN,M,SWM,0,1,1,31
PLW,F,JUD,0,0,0,0
AUS,F,TRI,0,0,0,4
HUN,F,HBL,0,0,0,16
CHN,M,EJP,0,0,0,8
CAN,F,HOC,0,0,0,0
GER,M,MTB,0,0,0,2
BLR,F,DIV,0,0,0,0
PUR,F,ROW,0,0,0,1
LAT,M,BKB,0,0,0,0
KOR,M,WPO,0,0,0,0
LTU,F,BKG,0,0,0,0
ROC,M,OWS,0,0,0,1
AZE,M,KTE,0,1,0,2
EUN,M,SWM,0,0,0,0
NZL,M,JUD,0,0,0,0
PRK,M,BOX,0,0,0,0
ARM,F,SHO,0,0,0,1
OMA,M,SWM,0,0,0,1
DJI,F,SWM,0,0,0,0
SLO,F,MTB,0,0,0,1
SAA,M,SHO,0,0,0,0
ISV,M,FEN,0,0,0,0
UKR,F,TEN,0,0,0,0
SWZ,M,SHO,0,0,0,0
BUL,F,FEN,0,0,0,0
GRE,F,SAL,0,0,0,4
AZE,F,WRF,0,0,0,1
GER,M,FSK,0,0,0,0
KEN,F,VVO,0,0,0,12
DEN,M,SHO,0,0,0,2
WIF,M,SAL,0,0,0,0
NOR,F,HBL,12,0,0,12
KAZ,M,GAR,0,0,0,7
USA,F,FBL,16,0,0,16
LTU,F,VBV,0,0,0,0
PUR,M,SAL,0,0,0,1
GUM,F,SWM,0,0,0,1
JPN,F,BMF,0,0,0,1
QAT,M,ATH,0,0,1,6
CAN,M,SAL,0,0,0,0
THA,F,SWM,0,0,0,2
ESA,M,SWM,0,0,0,2
GER,M,ART,0,0,0,0
GER,M,CTR,0,0,0,11
GBR,M,WLF,0,0,0,0
GBR,M,DIV,0,0,1,3
FRA,M,SAL,0,0,0,0
TPE,M,GAR,0,1,0,32
ROU,F,WLF,0,0,0,0
KOR,M,TRI,0,0,0,0
AUT,M,CLB,1,0,0,1
AUS,M,TEN,0,0,0,5
ESP,F,SWA,0,0,0,10
FRA,F,GTR,0,0,0,1
VEN,M,TTE,0,0,0,0
NED,M,TTE,0,0,0,0
JPN,F,CLB,1,1,0,2
AUS,F,ARC,0,0,0,0
GER,M,SAL,0,0,0,0
POL,F,WRF,0,0,0,3
BLR,M,ROW,0,0,0,2
PRK,M,WRF,0,0,0,0
BLR,M,CSL,0,0,0,0
CHI,F,EDR,0,0,0,1
SUI,M,WPO,0,0,0,0
VEN,M,FEN,0,0,0,2
NED,F,HOC,0,0,16,16
THA,F,DIV,0,0,0,0
CHI,M,WPO,0,0,0,0
NED,M,FEN,0,0,0,0
CAN,M,SAL,0,0,0,0
ESP,M,FEN,0,0,0,1
BAN,M,SHO,0,0,0,1
SCG,M,VVO,0,0,0,0
SUI,M,SAL,0,0,0,0
CHN,F,SWA,0,10,0,10
NZL,F,SHO,0,0,0,0
USA,M,HOC,0,0,0,0
SWE,M,SAL,0,0,0,0
MAR,M,CSL,0,0,0,1
NZL,M,SAL,0,0,0,0
MAR,F,JUD,0,0,0,1
ESP,M,TTE,0,0,0,1
GDR,F,CSL,0,0,0,0
KEN,F,FEN,0,0,0,0
SLO,M,TKW,0,0,0,1
FIN,M,SAL,0,0,0,0
ESA,M,ART,0,0,0,0
USA,M,GAR,0,0,0,0
ESA,M,CTR,0,0,0,0
AUT,M,HOC,0,0,0,0
BEL,M,CSP,0,0,0,1
FRA,M,ROW,0,0,0,0
PAK,M,JUD,0,0,0,1
KUW,M,SWM,0,0,0,1
GBR,F,SWM,0,0,3,25
ZIM,F,FBL,0,0,0,0
KSA,M,EVE,0,0,0,0
HUN,F,MTB,0,0,0,1
INA,M,TEN,0,0,0,0
IVB,F,ATH,0,0,0,1
SRI,F,GAR,0,0,0,5
RSA,M,SAL,0,0,0,0
TUR,F,MPN,0,0,0,0
MEX,F,MTB,0,0,0,1
CRC,M,TKW,0,0,0,0
GBR,M,SAL,0,0,0,0
PAN,M,SHO,0,0,0,0
MDA,F,CSP,0,0,0,0
NZL,M,EJP,0,0,0,6
GBR,M,TTE,0,0,0,0
BUL,M,WRF,0,0,0,3
MOZ,M,CSL,0,0,0,0
CHI,F,ATH,0,0,0,1
HON,F,SWM,0,0,0,1
PHI,F,FEN,0,0,0,0
SEN,M,SWM,0,0,0,1
CZE,F,ROW,0,0,0,2
FRA,M,SAL,0,0,0,0
COK,M,CSP,0,0,0,2
ISR,M,TEN,0,0,0,0
SVK,F,TTE,0,0,0,2
CHN,M,JUD,0,0,0,0
SLO,F,HBL,0,0,0,0
KOR,F,GLF,0,0,0,0
ITA,M,TOW,0,0,0,0
GER,M,SWM,0,0,0,20
USA,M,SWM,0,0,0,0
SWE,F,BDM,0,0,0,0
EST,M,ROW,0,0,0,2
EOR,M,CSP,0,0,0,0
PUR,M,SHO,0,0,0,0
BOT,M,BOX,0,0,0,1
SWE,F,EJP,0,0,1,2
GBR,F,DIV,0,0,0,4
AUS,F,CSL,0,0,0,0
HUN,M,MTB,0,0,0,1
GRE,M,ROW,0,0,0,0
AUT,M,VBV,0,0,0,0
EST,M,CSL,0,0,0,0
BAH,M,SAL,0,0,0,0
DEN,M,SAL,0,0,0,2
FRA,M,TRI,1,0,0,2
KAZ,F,WRF,0,0,0,2
UAE,M,ATH,0,0,0,1
SVK,F,CTR,0,0,0,0
GER,F,FBL,0,0,0,0
TCH,M,BOX,0,0,0,0
USA,M,CLB,0,1,0,2
MLT,M,ARC,0,0,0,0
FRA,M,SAL,0,0,0,0
FRG,F,ROW,0,0,0,0
NOR,M,ROW,0,0,0,0
FRA,M,TTE,0,0,0,0
ALG,F,JUD,0,0,0,0
SUI,M,SAL,0,0,0,0
UZB,F,GAR,0,0,0,0
SWZ,F,ATH,0,0,0,0
KEN,M,ARC,0,0,0,0
SLO,M,BKB,0,0,0,12
TUN,F,TTE,0,0,0,1
NED,M,SAL,0,0,0,0
CIV,F,ATH,0,0,0,3
ROU,F,BOX,0,0,0,1
IRL,M,ARC,0,0,0,0
SUI,M,TEN,0,0,0,0
GBR,M,SHO,0,0,0,0
UZB,F,TKW,0,0,0,1
SVK,M,SAL,0,0,0,0
GBR,M,HOC,0,0,0,0
POR,M,SAL,0,0,0,0
SLE,M,JUD,0,0,0,1
IRI,M,SHO,0,0,0,0
MGL,F,JUD,1,0,0,9
GRE,F,ARC,0,0,0,0
USA,F,SWA,0,0,0,1
NZL,F,TTE,0,0,0,0
UKR,M,GTR,0,0,0,1
PHI,M,TKW,0,0,0,1
NOR,M,SAL,1,0,0,4
SWE,F,TEN,0,0,0,0
AHO,M,FEN,0,0,0,0
GBR,F,MTB,0,0,0,1
USA,M,SAL,0,0,0,0
CHI,F,EVE,0,0,0,0
BRA,F,JUD,1,0,0,7
MLI,F,SWM,0,0,0,0
DOM,M,ROW,0,0,0,1
JPN,F,ROW,0,0,0,0
LAO,M,BOX,0,0,0,0
URU,M,SHO,0,0,0,0
RSA,F,GRY,0,0,0,0
GBR,F,TEN,0,0,0,0
AUS,M,SAL,0,0,0,0
KOR,M,ROW,0,0,0,0
CZE,M,CLB,0,0,0,1
MEX,F,SWM,0,0,0,2
KOR,M,CSL,0,0,0,0
LUX,F,JUD,0,0,0,0
ROU,M,FBL,0,0,0,22
ESP,F,FBL,0,0,0,0
HUN,F,SWM,0,0,0,21
DEN,F,FBL,0,0,0,0
IRL,M,TEN,0,0,0,0
ITA,M,GTR,0,0,0,0
BRA,M,SAL,0,0,0,0
RUS,M,BOX,3,1,1,7
POL,F,SKB,0,0,0,1
SWE,M,TTE,0,0,0,0
CHI,F,CRD,0,0,0,1
GRE,M,GLF,0,0,0,0
AUS,F,SAL,0,0,0,4
PLW,M,WLF,0,0,0,0
CPV,M,BOX,0,0,0,1
ECU,F,GLF,0,0,0,1
RSA,F,FEN,0,0,0,0
CAN,M,IHO,0,0,0,0
PHI,M,BKB,0,0,0,0
CHN,F,FBL,0,0,0,22
NZL,M,SAL,0,0,0,0
FRA,F,EJP,0,0,0,2
ISR,M,CRD,0,0,0,0
GRE,M,TOW,0,0,0,0
MEX,F,DIV,2,0,0,8
ITA,F,BK3,0,0,0,4
CUB,M,ATH,1,1,0,6
FRA,F,BDM,0,0,0,2
NZL,F,CTR,0,1,0,11
VIE,F,JUD,0,0,0,1
MAR,M,TRI,0,0,0,1
HUN,F,DIV,0,0,0,0
YEM,M,ATH,0,0,0,1
TUN,F,SHO,0,0,0,3
GBR,M,WPO,0,0,0,0
NOR,M,TEN,0,0,0,0
RSA,M,RU7,0,0,0,12
BRA,M,EJP,0,0,0,8
GUM,M,WLF,0,0,0,0
CAN,F,SBL,13,0,0,13
POL,M,GLF,0,0,0,1
GRE,F,CSL,0,0,0,0
GUI,M,ATH,0,0,0,0
MYA,M,SAL,0,0,0,0
MEX,M,HOC,0,0,0,0
NZL,F,BMX,0,0,0,1
MLT,F,SWM,0,0,0,2
BER,M,EVE,0,0,0,0
POL,F,ART,0,0,0,0
FRA,M,SAL,0,0,0,0
PAR,M,SWM,0,0,0,2
YUG,M,BOX,0,0,0,0
INA,F,DIV,0,0,0,0
EST,F,TRI,0,0,0,0
ARG,M,ATH,0,0,0,3
SLO,M,HBL,0,0,0,0
TCH,M,TEN,0,0,0,0
BIZ,M,SHO,0,0,0,0
AUS,F,BKG,0,0,0,0
EST,M,TRI,0,0,0,0
SVK,F,SHO,0,0,1,4
NEP,M,JUD,0,0,0,0
NOR,M,SHO,0,0,0,6
ANZ,M,RUG,0,0,0,0
KGZ,F,SHO,0,0,0,1
MDA,F,ARC,0,0,0,0
FRA,M,ROW,0,0,0,2
FRA,M,CSL,0,0,0,2
GER,F,SWA,0,0,0,0
BEL,M,VVO,0,0,0,0
SVK,M,SHO,0,0,0,4
MRI,M,SWM,0,0,0,0
PAN,F,BOX,0,0,0,0
CAN,M,EJP,0,0,0,1
URU,M,SAL,0,0,0,1
MAW,M,BOX,0,0,0,0
BOT,F,SWM,0,0,0,0
INA,F,SWM,0,0,0,1
GDR,F,SAL,0,0,0,0
SUI,M,DIV,0,0,0,0
CHI,M,DIV,0,0,0,0
CHI,M,WLF,0,0,0,1
MDA,M,WRF,0,0,0,1
SRB,M,TEN,0,0,0,0
SUI,M,WLF,0,0,0,0
URS,M,SAL,0,0,0,0
AUS,M,CRD,1,0,0,5
AUS,F,VBV,0,2,0,2
ZAM,M,ATH,0,0,0,1
FRA,M,SAL,0,0,0,0
POL,M,ATH,1,0,3,22
EUN,F,ATH,0,0,0,0
BAH,M,SWM,0,0,0,2
BEL,M,SAL,0,0,0,1
ROU,M,EVE,0,0,0,0
IRL,M,GAR,0,0,0,1
SOL,M,ARC,0,0,0,0
UAE,F,ATH,0,0,0,0
MON,M,FEN,0,0,0,0
ARG,M,SAL,0,0,0,0
JOR,M,GAR,0,0,0,0
ESA,F,ATH,0,0,0,0
NED,F,SBL,0,0,0,0
CAN,M,ROW,0,0,0,0
IND,M,TTE,0,0,0,3
KOR,M,SHO,0,0,0,0
UKR,F,OWS,0,0,0,1
FIN,F,DIV,0,0,0,0
EST,F,ARC,0,0,0,1
ITA,F,OWS,0,0,0,1
GDR,M,ATH,0,0,0,0
USA,M,GAR,0,0,0,0
YUG,M,WRF,0,0,0,0
ISL,F,ATH,0,0,0,0
AUT,F,WLF,0,0,0,1
COK,M,SAL,0,0,0,0
JPN,F,KTE,0,1,0,4
ARG,M,GLF,0,0,0,0
AZE,M,ATH,0,0,0,0
SLO,F,SWM,0,0,0,5
ARG,F,GAR,0,0,0,5
RSA,M,HOC,0,0,0,15
HUN,M,TEN,0,0,0,0
TPE,F,WLF,1,0,1,4
DEN,M,CSP,0,0,0,0
TCH,F,ART,0,0,0,0
FIN,F,SWM,0,0,0,3
LIB,F,JUD,0,0,0,0
NRU,M,JUD,0,0,0,0
NED,M,EVE,0,0,0,0
KOR,M,DIV,0,0,0,6
PHI,F,GLF,0,0,0,2
CRO,M,GAR,0,1,0,1
COD,M,SWM,0,0,0,0
AUS,F,TEN,0,0,0,0
KOR,M,WLF,0,0,0,3
SKN,F,ATH,0,0,0,1
JPN,M,TTE,1,0,0,2
GBR,F,HBL,0,0,0,0
KOR,F,BOX,0,0,0,2
DOM,M,WLF,0,1,0,2
KOR,F,FEN,0,0,0,0
JPN,M,FEN,0,0,3,18
DOM,M,DIV,0,0,0,1
GBR,M,TRI,0,1,1,2
BAR,M,SWM,0,0,0,0
GRE,F,TEN,0,0,0,0
MDA,M,BOX,0,0,0,0
NAM,F,SHO,0,0,0,0
HON,M,SWM,0,0,0,2
ARG,M,SAL,0,0,0,0
RUS,F,TKW,0,1,0,1
LUX,F,TEN,0,0,0,0
HUN,M,ROW,0,0,0,0
HKG,F,SAL,0,0,0,2
FRA,M,DIV,0,0,0,1
COK,F,ATH,0,0,0,0
FRA,M,WLF,0,0,0,1
BRA,F,RU7,0,0,0,10
USA,M,BKG,0,0,0,0
FRA,F,BKB,10,0,0,10
EOR,M,SHO,0,0,0,0
BAH,M,CTR,0,0,0,0
GRE,F,TRI,0,0,0,0
BRA,F,TEN,2,0,0,3
CAN,M,JUD,0,0,0,2
COL,M,TEN,0,0,0,3
CHI,M,ROW,0,0,0,2
IRL,F,ART,0,0,0,0
SUI,M,ROW,0,0,0,6
USA,M,ROW,0,0,0,0
BRN,M,WLF,0,0,0,0
BAH,M,SAL,0,0,0,0
CHI,M,CSL,0,0,0,0
UGA,F,ATH,0,0,0,7
FRA,M,SAL,0,0,0,0
SUI,M,CSL,0,0,0,2
FRG,M,HOC,0,0,0,0
NGR,F,CTR,0,0,0,0
NOR,F,DIV,0,0,0,1
HKG,F,ATH,0,0,0,0
MGL,M,ATH,0,0,0,2
PRK,F,TTE,0,0,0,0
YUG,M,SAL,0,0,0,0
YUG,F,SHO,0,0,0,0
FRA,M,WPO,0,0,0,0
URS,M,WRF,4,0,4,11
KOR,M,SAL,0,0,0,0
NGR,F,TTE,0,0,0,1
BEL,M,SHO,0,0,0,0
CIV,M,FBL,0,0,0,0
GRE,M,ATH,0,0,0,5
GUM,M,CSL,0,0,0,0
AUT,M,EVE,0,0,0,0
NIG,M,BOX,0,0,0,0
PNG,F,ATH,0,0,0,1
NGR,M,TTE,0,0,0,0
URU,M,SAL,0,0,0,0
BAR,M,CTR,0,0,0,0
EOR,F,SHO,0,0,0,1
MDA,M,WLF,0,0,0,0
COD,M,CTR,0,0,0,0
BRA,M,JUD,1,0,0,9
URS,M,SAL,0,0,0,0
NOR,F,SWM,0,0,0,2
KGZ,M,TKW,0,0,0,0
SGP,F,SAL,0,0,0,3
RSA,M,CLB,0,0,0,1
UAE,M,JUD,0,0,0,0
RSA,F,MTB,0,0,0,1
TUR,M,ARC,0,0,0,0
BER,M,SAL,0,0,0,0
GBR,F,VVO,0,0,0,0
FRA,M,EVE,0,0,0,0
GER,M,FEN,0,0,0,4
CAN,M,DIV,0,0,0,4
TUR,F,WRF,0,0,0,0
CAN,M,WLF,0,0,0,0
EGY,F,ATH,0,0,0,0
SEN,M,TTE,0,0,0,1
GBR,F,GRY,0,0,0,0
CHI,M,EJP,0,0,0,1
ANG,F,SAL,0,0,0,0
SUI,M,EJP,0,0,0,8
MTN,M,WRF,0,0,0,0
SEN,M,FEN,0,0,0,0
RHO,F,DIV,0,0,0,0
PHI,F,DIV,0,0,0,0
FRA,M,JUD,1,0,3,7
COL,M,GLF,0,0,0,1
GER,M,TTE,0,1,0,2
RSA,M,SAL,0,0,0,0
AND,F,CSL,0,0,0,2
KUW,M,TTE,0,0,0,0
GAB,M,SWM,0,0,0,1
GER,F,EVE,0,0,0,0
BRN,M,JUD,0,0,0,0
VAN,M,ARC,0,0,0,0
KUW,M,FEN,0,0,0,0
FRA,M,SAL,0,0,0,0
IRL,F,ATH,0,0,0,13
TUR,M,WRF,2,0,0,7
ESP,M,CTR,0,0,0,4
KAZ,F,MPN,0,0,0,1
NAM,F,ROW,0,0,0,1
CRO,F,TEN,0,0,0,2
ESP,M,ART,0,0,0,0
ROU,M,VVO,0,0,0,0
BRA,F,WPO,0,0,0,0
PRK,F,GAR,0,0,0,0
IRI,F,FEN,0,0,0,0
AUS,M,SAL,0,0,0,0
PLE,M,ATH,0,0,0,0
HON,F,FEN,0,0,0,0
ROC,F,CSP,0,0,0,14
PHI,F,SWM,0,0,0,2
ISV,F,SWM,0,0,0,0
BRA,M,WLF,0,0,0,0
FIN,F,GLF,0,0,0,2
PER,F,ATH,0,0,0,5
SUI,F,TKW,0,0,0,0
BRA,M,DIV,0,0,0,2
EOR,F,JUD,0,0,0,0
CIV,F,ATH,0,0,0,0
SWE,F,BOX,0,0,0,1
MAS,M,WRF,0,0,0,0
