Country Code,Gender,Event,bronze,silver,gold,total athletes
PAK,M,ROW,0,0,0,0
NZL,M,DIV,0,0,0,0
GUA,F,SAL,0,0,0,0
JAM,M,SHO,0,0,0,0
LAT,F,WLF,0,0,0,0
NZL,M,WLF,0,0,0,0
CIV,F,FEN,0,0,0,0
SGP,M,SHO,0,0,0,1
DEN,M,EVE,0,0,0,1
IND,F,HOC,0,0,0,0
SAA,F,ATH,0,0,0,0
ESP,F,VBV,0,0,0,0
SWE,F,WLF,0,0,0,0
ESA,F,WRF,0,0,0,0
MOZ,M,JUD,0,0,0,0
BIZ,F,ATH,0,0,0,0
NGR,F,ROW,0,0,0,0
ARG,F,CSP,0,0,0,0
USA,M,BMX,0,0,0,0
STP,F,ATH,0,0,0,0
GER,F,TRI,0,0,0,1
CHN,M,ROW,0,0,0,0
MNE,F,SWM,0,0,0,0
ARG,M,CRD,0,0,0,0
BIH,F,SHO,0,0,0,0
SRB,F,CRD,0,0,0,0
USA,M,GLF,0,0,0,0
MRI,M,TTE,0,0,0,0
CHN,M,CSL,0,0,2,3
USA,M,SAL,0,0,0,0
NCA,F,ATH,0,0,0,0
LTU,M,BKB,0,0,0,4
PUR,M,EVE,0,0,0,0
COL,F,JUD,0,0,0,0
JAM,M,SAL,0,0,0,0
SUI,F,GAR,0,0,0,0
NAM,M,OWS,0,0,0,0
SGP,M,SAL,0,0,0,1
BLR,M,JUD,0,0,0,2
INA,M,ATH,0,0,0,0
FRA,M,SAL,0,0,0,0
DEN,M,ROW,0,0,0,0
HUN,F,GRY,0,0,0,0
AHO,M,SWM,0,0,0,0
MEX,F,GRY,0,0,0,0
RSA,F,SWM,0,0,0,3
CAN,M,WPO,0,0,0,0
ISR,M,ATH,0,0,0,2
POR,F,GTR,0,0,0,0
MAR,M,JUD,0,0,0,1
AND,F,SAL,0,0,0,0
NZL,F,KTE,0,0,0,0
HUN,F,VVO,0,0,0,0
USA,F,TRI,0,0,0,0
ISL,M,SWM,0,0,0,5
KAZ,M,GTR,0,0,0,0
JPN,M,MTB,0,0,0,0
IRL,F,EVE,0,0,0,2
TKM,M,JUD,0,0,0,0
GRE,M,ROW,0,0,0,0
MEX,F,VVO,0,0,0,0
SUI,M,SAL,0,0,0,0
BRA,M,WPO,0,0,0,0
KSA,M,SHO,0,0,0,1
FRA,M,POL,0,0,0,0
MEX,F,FEN,0,0,0,0
IRL,F,CRD,0,0,0,0
HUN,F,FEN,1,0,0,8
GBR,M,EJP,0,0,0,0
FRA,F,BOX,0,0,0,0
LUX,M,SAL,0,0,0,0
BRU,F,ATH,0,0,0,0
PER,F,EVE,0,0,0,0
IRI,F,ATH,0,0,0,0
FIN,M,WLF,0,0,0,0
RSA,F,DIV,0,0,0,1
URU,M,MPN,0,0,0,0
FIN,M,DIV,0,0,0,1
JPN,F,VBV,0,0,0,0
CZE,F,MPN,0,0,0,0
CAN,F,OWS,0,0,0,0
HKG,M,FEN,0,0,0,0
KAZ,M,ARC,0,0,0,0
BLR,M,DIV,0,0,0,2
BLR,M,WLF,0,1,0,2
POR,M,SAL,0,0,0,0
TUR,F,SWM,0,0,0,1
FRA,M,SAL,0,0,0,0
ASA,F,SWM,0,0,0,0
HKG,M,TTE,0,0,0,0
HUN,M,ART,0,0,0,0
BUL,M,BOX,0,0,0,1
CIV,F,WRF,0,0,0,0
USA,M,GAR,0,0,0,0
NED,M,ROW,0,0,0,0
MAR,M,WLF,0,0,0,0
HUN,M,CTR,0,0,0,2
MRI,F,JUD,0,0,0,0
PER,F,WRF,0,0,0,0
TKM,M,WLF,0,0,0,1
FRA,M,WPO,0,0,0,0
EST,F,SAL,0,0,0,0
LAO,M,SWM,0,0,0,0
TTO,M,SAL,0,0,0,0
SUI,M,SAL,0,0,0,0
TPE,M,ARC,0,0,0,4
HKG,F,EVE,0,0,0,0
LAT,F,BKB,0,0,0,0
KOR,F,WLF,0,0,1,2
EGY,F,WRF,0,0,0,0
IRI,M,CSP,0,0,0,0
TUR,F,ATH,0,0,0,0
TUR,F,DIV,0,0,0,0
CYP,M,ATH,0,0,0,1
EOR,M,CSP,0,0,0,0
LTU,F,SAL,0,0,0,0
BEL,M,SAL,0,0,0,0
EUN,M,CTR,0,0,0,0
ALG,F,TEN,0,0,0,0
TUN,M,TEN,0,0,0,0
COL,M,CRD,0,0,0,0
GRE,F,VBV,0,0,0,0
CAN,M,LAX,0,0,0,0
BRA,M,SAL,0,0,0,0
TCH,M,WRF,0,0,0,0
NED,M,SAL,0,0,0,0
HAI,M,FEN,0,0,0,0
TPE,F,BOX,0,0,0,0
URU,M,CSP,0,0,0,0
SCG,M,SHO,0,0,0,0
SGP,F,CSL,0,0,0,0
BUR,M,JUD,0,0,0,0
GBR,M,CSL,1,0,1,3
OMA,M,CTR,0,0,0,0
ISV,M,ARC,0,0,0,0
RUS,F,GAR,0,0,0,9
FIN,M,JUD,0,0,0,0
LUX,M,FBL,0,0,0,0
MKD,M,ATH,0,0,0,0
GBR,M,ROW,1,3,4,10
EGY,M,TEN,0,0,0,0
BUL,F,VVO,0,0,0,0
SAM,F,WLF,0,0,0,0
EUN,F,EVE,0,0,0,0
SVK,M,CSP,0,0,0,0
GEQ,M,SWM,0,0,0,0
BLR,F,SWM,0,0,0,3
BRN,F,ATH,0,0,0,1
URU,M,SAL,0,0,0,0
UAE,F,EVE,0,0,0,0
BUL,F,GRY,0,0,0,3
ROU,M,MPN,0,0,0,0
BIZ,M,CSP,0,0,0,0
RSA,F,GLF,0,0,0,0
EST,M,WLF,0,0,0,0
NOR,M,CSP,0,0,0,0
NAM,F,CTR,0,0,0,0
NED,M,SAL,0,0,0,0
VEN,F,OWS,0,0,0,0
SUI,M,TRI,0,0,0,3
USA,M,RU7,0,0,0,0
CHI,M,TRI,0,0,0,0
GEO,F,ATH,0,0,0,1
KSA,M,FBL,0,0,0,0
TTO,F,JUD,0,0,0,0
MAS,M,BDM,0,1,0,2
ARG,F,TKW,0,0,0,1
YUG,F,TTE,0,0,0,0
HUN,M,SWM,0,3,0,15
PLW,F,JUD,0,0,0,0
AUS,F,TRI,0,0,0,0
HUN,F,HBL,0,0,0,5
CHN,M,EJP,0,0,0,0
CAN,F,HOC,0,0,0,0
GER,M,MTB,0,0,0,0
BLR,F,DIV,0,0,0,0
PUR,F,ROW,0,0,0,0
LAT,M,BKB,0,0,0,0
KOR,M,WPO,0,0,0,0
LTU,F,BKG,0,0,0,0
ROC,M,OWS,0,0,0,0
AZE,M,KTE,0,0,0,0
EUN,M,SWM,0,0,0,0
NZL,M,JUD,0,0,0,0
PRK,M,BOX,0,0,0,1
ARM,F,SHO,0,0,0,0
OMA,M,SWM,0,0,0,0
DJI,F,SWM,0,0,0,0
SLO,F,MTB,0,0,0,0
SAA,M,SHO,0,0,0,0
ISV,M,FEN,0,0,0,0
UKR,F,TEN,0,0,0,0
SWZ,M,SHO,0,0,0,0
BUL,F,FEN,0,0,0,0
GRE,F,SAL,2,0,0,4
AZE,F,WRF,0,0,0,0
GER,M,FSK,0,0,0,0
KEN,F,VVO,0,0,0,0
DEN,M,SHO,0,0,0,0
WIF,M,SAL,0,0,0,0
NOR,F,HBL,0,0,2,2
KAZ,M,GAR,0,0,0,0
USA,F,FBL,0,0,8,8
LTU,F,VBV,0,0,0,0
PUR,M,SAL,0,0,0,0
GUM,F,SWM,0,0,0,0
JPN,F,BMF,0,0,0,0
QAT,M,ATH,0,0,0,3
CAN,M,SAL,0,0,0,0
THA,F,SWM,0,0,0,1
ESA,M,SWM,0,0,0,0
GER,M,ART,0,0,0,0
GER,M,CTR,1,0,0,6
GBR,M,WLF,0,0,0,0
GBR,M,DIV,0,0,0,1
FRA,M,SAL,0,0,0,0
TPE,M,GAR,0,0,0,0
ROU,F,WLF,0,0,0,0
KOR,M,TRI,0,0,0,0
AUT,M,CLB,0,0,0,0
AUS,M,TEN,0,0,0,1
ESP,F,SWA,0,7,0,7
FRA,F,GTR,0,0,0,0
VEN,M,TTE,0,0,0,0
NED,M,TTE,0,0,0,0
JPN,F,CLB,0,0,0,0
AUS,F,ARC,0,0,0,0
GER,M,SAL,0,0,0,0
POL,F,WRF,0,0,0,0
BLR,M,ROW,0,0,0,3
PRK,M,WRF,0,0,0,0
BLR,M,CSL,2,0,4,9
CHI,F,EDR,0,0,0,0
SUI,M,WPO,0,0,0,0
VEN,M,FEN,0,0,0,3
NED,F,HOC,0,0,7,7
THA,F,DIV,0,0,0,0
CHI,M,WPO,0,0,0,0
NED,M,FEN,0,0,0,0
CAN,M,SAL,0,0,0,0
ESP,M,FEN,0,0,0,1
BAN,M,SHO,0,0,0,0
SCG,M,VVO,0,0,0,0
SUI,M,SAL,0,0,0,0
CHN,F,SWA,4,0,0,4
NZL,F,SHO,0,0,0,1
USA,M,HOC,0,0,0,0
SWE,M,SAL,0,0,0,0
MAR,M,CSL,0,0,0,0
NZL,M,SAL,0,0,0,0
MAR,F,JUD,0,0,0,0
ESP,M,TTE,0,0,0,1
GDR,F,CSL,0,0,0,0
KEN,F,FEN,0,0,0,0
SLO,M,TKW,0,0,0,0
FIN,M,SAL,0,0,0,0
ESA,M,ART,0,0,0,0
USA,M,GAR,0,0,0,0
ESA,M,CTR,0,0,0,0
AUT,M,HOC,0,0,0,0
BEL,M,CSP,0,0,0,0
FRA,M,ROW,0,0,0,0
PAK,M,JUD,0,0,0,0
KUW,M,SWM,0,0,0,0
GBR,F,SWM,1,0,0,9
ZIM,F,FBL,0,0,0,0
KSA,M,EVE,0,0,0,4
HUN,F,MTB,0,0,0,0
INA,M,TEN,0,0,0,0
IVB,F,ATH,0,0,0,0
SRI,F,GAR,0,0,0,0
RSA,M,SAL,0,0,0,0
TUR,F,MPN,0,0,0,0
MEX,F,MTB,0,0,0,0
CRC,M,TKW,0,0,0,1
GBR,M,SAL,0,0,0,0
PAN,M,SHO,0,0,0,0
MDA,F,CSP,0,0,0,0
NZL,M,EJP,0,0,0,0
GBR,M,TTE,0,0,0,0
BUL,M,WRF,1,0,0,7
MOZ,M,CSL,0,0,0,0
CHI,F,ATH,0,0,0,0
HON,F,SWM,0,0,0,0
PHI,F,FEN,0,0,0,0
SEN,M,SWM,0,0,0,1
CZE,F,ROW,0,0,0,2
FRA,M,SAL,0,0,0,0
COK,M,CSP,0,0,0,0
ISR,M,TEN,0,0,0,2
SVK,F,TTE,0,0,0,0
CHN,M,JUD,0,0,0,1
SLO,F,HBL,0,0,0,0
KOR,F,GLF,0,0,0,0
ITA,M,TOW,0,0,0,0
GER,M,SWM,1,0,0,7
USA,M,SWM,0,0,0,0
SWE,F,BDM,0,0,0,0
EST,M,ROW,0,2,0,4
EOR,M,CSP,0,0,0,0
PUR,M,SHO,0,0,0,1
BOT,M,BOX,0,0,0,1
SWE,F,EJP,0,0,0,0
GBR,F,DIV,0,0,0,1
AUS,F,CSL,2,0,0,3
HUN,M,MTB,0,0,0,0
GRE,M,ROW,0,0,0,0
AUT,M,VBV,0,0,0,1
EST,M,CSL,0,0,0,0
BAH,M,SAL,0,0,0,0
DEN,M,SAL,0,0,0,2
FRA,M,TRI,0,0,0,1
KAZ,F,WRF,0,0,0,0
UAE,M,ATH,0,0,0,0
SVK,F,CTR,0,0,0,1
GER,F,FBL,6,0,0,6
TCH,M,BOX,0,0,0,0
USA,M,CLB,0,0,0,0
MLT,M,ARC,0,0,0,0
FRA,M,SAL,0,0,0,0
FRG,F,ROW,0,0,0,0
NOR,M,ROW,0,0,0,0
FRA,M,TTE,0,0,0,0
ALG,F,JUD,1,0,0,3
SUI,M,SAL,0,0,0,0
UZB,F,GAR,0,0,0,0
SWZ,F,ATH,0,0,0,0
KEN,M,ARC,0,0,0,0
SLO,M,BKB,0,0,0,0
TUN,F,TTE,0,0,0,0
NED,M,SAL,0,0,0,0
CIV,F,ATH,0,0,0,0
ROU,F,BOX,0,0,0,0
IRL,M,ARC,0,0,0,0
SUI,M,TEN,0,0,0,0
GBR,M,SHO,0,0,0,0
UZB,F,TKW,0,0,0,0
SVK,M,SAL,0,0,0,1
GBR,M,HOC,0,0,0,0
POR,M,SAL,0,0,0,0
SLE,M,JUD,0,0,0,0
IRI,M,SHO,0,0,0,0
MGL,F,JUD,0,0,0,2
GRE,F,ARC,0,0,0,2
USA,F,SWA,0,0,0,0
NZL,F,TTE,0,0,0,0
UKR,M,GTR,0,0,0,1
PHI,M,TKW,0,0,0,1
NOR,M,SAL,0,0,0,2
SWE,F,TEN,0,0,0,0
AHO,M,FEN,0,0,0,0
GBR,F,MTB,0,0,0,0
USA,M,SAL,0,0,0,0
CHI,F,EVE,0,0,0,0
BRA,F,JUD,0,0,0,1
MLI,F,SWM,0,0,0,1
DOM,M,ROW,0,0,0,0
JPN,F,ROW,0,0,0,1
LAO,M,BOX,0,0,0,0
URU,M,SHO,0,0,0,0
RSA,F,GRY,0,0,0,0
GBR,F,TEN,0,0,0,0
AUS,M,SAL,0,0,0,0
KOR,M,ROW,0,0,0,0
CZE,M,CLB,0,0,0,0
MEX,F,SWM,0,0,0,2
KOR,M,CSL,0,0,0,0
LUX,F,JUD,0,0,0,0
ROU,M,FBL,0,0,0,0
ESP,F,FBL,0,0,0,0
HUN,F,SWM,0,0,0,12
DEN,F,FBL,0,0,0,0
IRL,M,TEN,0,0,0,0
ITA,M,GTR,0,0,0,1
BRA,M,SAL,0,0,0,0
RUS,M,BOX,1,0,1,3
POL,F,SKB,0,0,0,0
SWE,M,TTE,0,0,0,0
CHI,F,CRD,0,0,0,0
GRE,M,GLF,0,0,0,0
AUS,F,SAL,0,0,0,3
PLW,M,WLF,0,0,0,0
CPV,M,BOX,0,0,0,0
ECU,F,GLF,0,0,0,0
RSA,F,FEN,0,0,0,0
CAN,M,IHO,0,0,0,0
PHI,M,BKB,0,0,0,0
CHN,F,FBL,0,0,0,5
NZL,M,SAL,0,0,0,0
FRA,F,EJP,0,0,0,0
ISR,M,CRD,0,0,0,0
GRE,M,TOW,0,0,0,0
MEX,F,DIV,1,0,0,4
ITA,F,BK3,0,0,0,0
CUB,M,ATH,0,0,0,3
FRA,F,BDM,0,0,0,1
NZL,F,CTR,0,0,0,1
VIE,F,JUD,0,0,0,0
MAR,M,TRI,0,0,0,0
HUN,F,DIV,0,0,0,2
YEM,M,ATH,0,0,0,0
TUN,F,SHO,0,0,0,0
GBR,M,WPO,0,0,0,0
NOR,M,TEN,0,0,0,0
RSA,M,RU7,0,0,0,0
BRA,M,EJP,0,0,0,0
GUM,M,WLF,0,0,0,0
CAN,F,SBL,0,0,0,4
POL,M,GLF,0,0,0,0
GRE,F,CSL,0,0,0,1
GUI,M,ATH,0,0,0,1
MYA,M,SAL,0,0,0,0
MEX,M,HOC,0,0,0,0
NZL,F,BMX,0,0,0,0
MLT,F,SWM,0,0,0,0
BER,M,EVE,0,0,0,0
POL,F,ART,0,0,0,0
FRA,M,SAL,0,0,0,0
PAR,M,SWM,0,0,0,0
YUG,M,BOX,0,0,0,0
INA,F,DIV,0,0,0,0
EST,F,TRI,0,0,0,0
ARG,M,ATH,0,0,0,1
SLO,M,HBL,0,0,0,0
TCH,M,TEN,0,0,0,0
BIZ,M,SHO,0,0,0,0
AUS,F,BKG,0,0,0,0
EST,M,TRI,0,0,0,1
SVK,F,SHO,0,0,0,0
NEP,M,JUD,0,0,0,0
NOR,M,SHO,0,0,0,3
ANZ,M,RUG,0,0,0,0
KGZ,F,SHO,0,0,0,0
MDA,F,ARC,0,0,0,0
FRA,M,ROW,2,0,0,7
FRA,M,CSL,0,1,0,2
GER,F,SWA,0,0,0,0
BEL,M,VVO,0,0,0,0
SVK,M,SHO,0,0,0,2
MRI,M,SWM,0,0,0,0
PAN,F,BOX,0,0,0,0
CAN,M,EJP,0,0,0,0
URU,M,SAL,0,0,0,1
MAW,M,BOX,0,0,0,0
BOT,F,SWM,0,0,0,0
INA,F,SWM,0,0,0,0
GDR,F,SAL,0,0,0,0
SUI,M,DIV,0,0,0,0
CHI,M,DIV,0,0,0,0
CHI,M,WLF,0,0,0,0
MDA,M,WRF,0,0,0,0
SRB,M,TEN,0,0,0,0
SUI,M,WLF,0,0,0,0
URS,M,SAL,0,0,0,0
AUS,M,CRD,0,0,0,0
AUS,F,VBV,0,0,0,0
ZAM,M,ATH,0,0,0,0
FRA,M,SAL,0,0,0,0
POL,M,ATH,0,0,1,10
EUN,F,ATH,0,0,0,0
BAH,M,SWM,0,0,0,3
BEL,M,SAL,0,0,0,1
ROU,M,EVE,0,0,0,0
IRL,M,GAR,0,0,0,0
SOL,M,ARC,0,0,0,0
UAE,F,ATH,0,0,0,0
MON,M,FEN,0,0,0,0
ARG,M,SAL,0,0,0,0
JOR,M,GAR,0,0,0,0
ESA,F,ATH,0,0,0,0
NED,F,SBL,0,0,0,0
CAN,M,ROW,0,0,0,0
IND,M,TTE,0,0,0,1
KOR,M,SHO,0,0,0,0
UKR,F,OWS,0,0,0,0
FIN,F,DIV,0,0,0,0
EST,F,ARC,0,0,0,0
ITA,F,OWS,0,0,0,0
GDR,M,ATH,0,0,0,0
USA,M,GAR,0,0,0,0
YUG,M,WRF,0,0,0,0
ISL,F,ATH,0,0,0,1
AUT,F,WLF,0,0,0,0
COK,M,SAL,0,0,0,0
JPN,F,KTE,0,0,0,0
ARG,M,GLF,0,0,0,0
AZE,M,ATH,0,0,0,0
SLO,F,SWM,0,1,0,6
ARG,F,GAR,0,0,0,0
RSA,M,HOC,0,0,0,5
HUN,M,TEN,0,0,0,0
TPE,F,WLF,1,0,0,1
DEN,M,CSP,0,0,0,0
TCH,F,ART,0,0,0,0
FIN,F,SWM,0,0,0,3
LIB,F,JUD,0,0,0,0
NRU,M,JUD,0,0,0,0
NED,M,EVE,0,0,0,0
KOR,M,DIV,0,0,0,0
PHI,F,GLF,0,0,0,0
CRO,M,GAR,0,0,0,0
COD,M,SWM,0,0,0,0
AUS,F,TEN,0,0,0,0
KOR,M,WLF,0,0,0,2
SKN,F,ATH,0,0,0,1
JPN,M,TTE,0,0,0,0
GBR,F,HBL,0,0,0,0
KOR,F,BOX,0,0,0,0
DOM,M,WLF,0,0,0,0
KOR,F,FEN,0,0,0,0
JPN,M,FEN,0,1,0,1
DOM,M,DIV,0,0,0,0
GBR,M,TRI,0,0,0,1
BAR,M,SWM,0,0,0,3
GRE,F,TEN,0,0,0,0
MDA,M,BOX,0,0,0,1
NAM,F,SHO,0,0,0,0
HON,M,SWM,0,0,0,0
ARG,M,SAL,0,0,0,0
RUS,F,TKW,0,0,0,0
LUX,F,TEN,0,0,0,0
HUN,M,ROW,0,0,0,0
HKG,F,SAL,0,0,0,0
FRA,M,DIV,0,0,0,0
COK,F,ATH,0,0,0,1
FRA,M,WLF,0,0,0,0
BRA,F,RU7,0,0,0,0
USA,M,BKG,0,0,0,0
FRA,F,BKB,0,0,0,0
EOR,M,SHO,0,0,0,0
BAH,M,CTR,0,0,0,0
GRE,F,TRI,0,0,0,0
BRA,F,TEN,0,0,0,0
CAN,M,JUD,0,0,0,1
COL,M,TEN,0,0,0,0
CHI,M,ROW,0,0,0,1
IRL,F,ART,0,0,0,0
SUI,M,ROW,0,0,0,1
USA,M,ROW,0,0,0,0
BRN,M,WLF,0,0,0,0
BAH,M,SAL,0,0,0,0
CHI,M,CSL,0,0,0,0
UGA,F,ATH,0,0,0,0
FRA,M,SAL,0,0,0,0
SUI,M,CSL,0,0,0,1
FRG,M,HOC,0,0,0,0
NGR,F,CTR,0,0,0,0
NOR,F,DIV,0,0,0,0
HKG,F,ATH,0,0,0,0
MGL,M,ATH,0,0,0,1
PRK,F,TTE,0,0,0,0
YUG,M,SAL,0,0,0,0
YUG,F,SHO,0,0,0,0
FRA,M,WPO,0,0,0,0
URS,M,WRF,0,1,2,5
KOR,M,SAL,0,0,0,0
NGR,F,TTE,0,0,0,5
BEL,M,SHO,0,0,0,0
CIV,M,FBL,0,0,0,0
GRE,M,ATH,0,0,0,4
GUM,M,CSL,0,0,0,0
AUT,M,EVE,0,0,0,0
NIG,M,BOX,0,0,0,0
PNG,F,ATH,0,0,0,1
NGR,M,TTE,0,0,0,0
URU,M,SAL,0,0,0,0
BAR,M,CTR,0,0,0,0
EOR,F,SHO,0,0,0,0
MDA,M,WLF,0,0,0,0
COD,M,CTR,0,0,0,0
BRA,M,JUD,2,0,0,3
URS,M,SAL,0,0,0,0
NOR,F,SWM,0,0,0,0
KGZ,M,TKW,0,0,0,0
SGP,F,SAL,0,0,0,0
RSA,M,CLB,0,0,0,0
UAE,M,JUD,0,0,0,0
RSA,F,MTB,0,0,0,0
TUR,M,ARC,0,0,0,0
BER,M,SAL,0,0,0,0
GBR,F,VVO,0,0,0,0
FRA,M,EVE,0,0,0,0
GER,M,FEN,0,0,0,1
CAN,M,DIV,0,1,0,2
TUR,F,WRF,0,0,0,0
CAN,M,WLF,0,0,0,0
EGY,F,ATH,0,0,0,0
SEN,M,TTE,0,0,0,0
GBR,F,GRY,0,0,0,0
CHI,M,EJP,0,0,0,0
ANG,F,SAL,0,0,0,0
SUI,M,EJP,0,0,0,0
MTN,M,WRF,0,0,0,0
SEN,M,FEN,0,0,0,0
RHO,F,DIV,0,0,0,0
PHI,F,DIV,0,0,0,1
FRA,M,JUD,0,1,0,2
COL,M,GLF,0,0,0,0
GER,M,TTE,0,1,0,2
RSA,M,SAL,0,0,0,0
AND,F,CSL,0,0,0,0
KUW,M,TTE,0,0,0,0
GAB,M,SWM,0,0,0,0
GER,F,EVE,0,0,0,0
BRN,M,JUD,0,0,0,0
VAN,M,ARC,0,0,0,0
KUW,M,FEN,0,0,0,0
FRA,M,SAL,0,0,0,0
IRL,F,ATH,0,0,0,2
TUR,M,WRF,1,0,0,6
ESP,M,CTR,0,2,1,10
KAZ,F,MPN,0,0,0,1
NAM,F,ROW,0,0,0,0
CRO,F,TEN,0,0,0,0
ESP,M,ART,0,0,0,0
ROU,M,VVO,0,0,0,0
BRA,F,WPO,0,0,0,0
PRK,F,GAR,0,0,0,0
IRI,F,FEN,0,0,0,0
AUS,M,SAL,0,0,0,0
PLE,M,ATH,0,0,0,0
HON,F,FEN,0,0,0,0
ROC,F,CSP,0,0,0,0
PHI,F,SWM,0,0,0,0
ISV,F,SWM,0,0,0,0
BRA,M,WLF,0,0,0,0
FIN,F,GLF,0,0,0,0
PER,F,ATH,0,0,0,1
SUI,F,TKW,0,0,0,0
BRA,M,DIV,0,0,0,3
EOR,F,JUD,0,0,0,0
CIV,F,ATH,0,0,0,1
SWE,F,BOX,0,0,0,0
MAS,M,WRF,0,0,0,0
